id,name,hotelname_en,featurehoteltype,lat,lon,single_room_price,single_room_stock,king_room_price,king_room_stock,double_bed_price,double_bed_stock,family_room_price,family_room_stock
0,北京天安门王府井漫心酒店,Beijing Tiananmenwangfujing Manxin Hotel,机器人服务,39.915718,116.408128,579,1,655,2,689,1,875,2
1,北京京都信苑饭店,Beijing Xinyuan Hotel,泳池,39.898089,116.31215,535,0,605,0,637,0,809,2
2,北京北投台湖演艺酒店,Beijing Beitou Taihu Performing Arts Hotel,免费停车,39.830898,116.62203,622,0,703,2,740,4,940,2
3,桔子水晶北京王府井大街酒店,Crystal Orange Beijing Wangfujing Street Hotel,机器人服务,39.91525,116.410422,570,1,645,2,679,1,862,1
4,赛特饭店,Scitech Hotel,泳池,39.906667,116.441675,570,1,644,0,678,1,861,1
5,嘉年华酒店(北京亦庄经济开发区店),Carnival Hotel (Beijing Yizhuang Economic Development Zone),亲子主题房,39.807812,116.52796,281,0,318,0,335,0,425,3
6,北京大兴国际机场木棉花酒店,Mumian Beijing Daxing International Airport,泳池,39.516491,116.415634,612,1,693,2,729,1,926,0
7,北京龙熙维景国际会议中心,Grand Metropark Longxi Conference Center Beijing,温泉,39.624784,116.302285,537,1,607,1,639,1,812,1
8,北京三元桥CitiGO欢阁酒店,CitiGO Hotel Sanyuanqiao Beijing,机器人服务,39.961257,116.454867,500,1,565,2,595,2,756,0
9,桔子水晶北京国贸合生汇酒店,Crystal Orange Beijing International Trade Heshenghui Hotel,机器人服务,39.894652,116.47704,439,1,497,3,523,3,664,0
10,北京德胜门华宇假日酒店,Holiday Inn Beijing Deshengmen,健身室,39.957588,116.378635,603,0,682,0,718,1,912,0
11,北京中航泊悦酒店,Boyue Beijing Hotel,桑拿,39.95719,116.463577,578,1,654,0,688,1,874,0
12,北京三元桥亚朵X酒店,Beijing Sanyuanqiao Atour X Hotel,免费停车,39.953753,116.451347,612,3,692,2,728,2,925,0
13,北京天坛漫心酒店,Beijing Tiantan Manxin Hotel,免费停车,39.876257,116.421599,528,3,597,1,628,1,798,1
14,北京广安门维景国际大酒店,Guanganmen Grand Metropark Hotel Beijing,免费停车,39.888884,116.354755,613,0,694,0,730,1,927,0
15,秋果酒店智选(北京朝阳高铁站东坝中路店),Qiuguo Hotel Smart Choice (Beijing Chaoyang High-speed Railway Station Dongba Middle Road),家庭房,39.949285,116.55619,318,0,360,2,379,0,481,2
16,秋果酒店(北京复兴门中央音乐学院店),TRUE GO HOTEL Fuxingmen Central Conservatory of Music Store,免费停车,39.898434,116.347467,444,0,503,1,529,0,672,2
17,北京亦庄智选假日酒店,Holiday Inn Express (Beijing Yizhuang),免费停车,39.788721,116.513926,518,0,586,0,617,0,784,1
18,桔子水晶北京南站木樨园酒店,Crystal  Orange Beijing South Railway Station Muxiyuan Hotel,免费停车,39.855894,116.406984,434,1,491,1,517,3,657,1
19,北京三里屯国安亚朵S酒店,Beijing Sanlitun Guo'an Atour S Hotel,免费停车,39.922442,116.453113,590,0,667,1,702,2,892,0
20,朗丽兹酒店(稻香湖路地铁站中关村环保园店),Lang Liz Hotel (Daoxianghu Road Subway Station Zhongguancun Environmental Protection Park),停车场,40.06545,116.179739,438,0,496,1,522,0,663,0
21,桔子水晶北京安贞酒店,Crystal Orange Beijing Anzhen Hotel,免费停车,39.968572,116.412118,540,0,611,2,643,2,817,2
22,秋果S酒店·1924(北京五棵松解放军301总医院店),Qiuguo S Hotel·1924 (Beijing Wukesong PLA 301 General Hospital),免费停车,39.905825,116.270873,419,1,474,0,499,1,634,0
23,北京朝阳路大悦城亚朵酒店,"Atour Hotel (Joy City, Chaoyang Road, Beijing)",免费停车,39.919076,116.513535,553,3,625,0,658,1,836,4
24,秋果酒店(北京学清路农业大学店),TRUE GO Hotel (Beijing Xueqing Road Agricultural University Branch),管家服务,40.010721,116.351104,444,0,502,1,528,1,671,2
25,北京西站南广场亚朵酒店,Atour Hotel (Beijing West Railway Station South Square),免费停车,39.891613,116.322925,559,3,633,1,666,1,846,1
26,桔子水晶北京天坛酒店,Crystal  Orange Beijing Temple of Heaven Hotel,管家服务,39.863727,116.413599,473,1,535,1,563,0,715,1
27,北京新侨饭店,Beijing Xinqiao Hotel,机器人服务,39.901688,116.416884,487,4,551,0,580,1,737,2
28,秋果酒店(北京三里屯工体店),Qiuguo Hotel (Beijing Sanlitun Gongti Branch),机器人服务,39.930665,116.456526,419,2,474,1,499,1,634,1
29,北京丰大国际大酒店,Fengda International Hotel,泳池,39.795921,116.508729,477,2,540,2,568,3,721,1
30,北京朝阳北路长楹天街亚朵酒店,"Atour Hotel, Changyingtian Street, Chaoyang North Road, Beijing",免费停车,39.921525,116.590835,508,3,575,3,605,1,768,0
31,宝欐酒店(北京协和医院东单院区店),Bolly Wood Hotel,管家服务,39.916376,116.417544,573,1,648,0,682,0,866,1
32,北京亦庄新城马驹桥亚朵酒店,"Atour Hotel (Majuqiao, Yizhuang Xincheng)",免费停车,39.733535,116.545619,457,3,517,1,544,0,691,1
33,北京天安门广场CitiGO欢阁酒店,CitiGO Hotel Beijing Tian'anmen Square,拍照出片,39.892335,116.398476,488,0,552,2,581,0,738,1
34,北京花乡天坛医院亚朵酒店,Atour Hotel Beiijng Huaxiang New Temple of Heaven,免费停车,39.835921,116.320016,457,1,517,1,544,2,691,0
35,北京燕莎三元桥亚朵酒店,Atour Hotel (Beijing Yansha Sanyuanqiao),洗衣房,39.95433,116.461666,582,1,658,1,693,1,880,1
36,北京总部基地亚朵酒店,Artour Hotel,机器人服务,39.826003,116.287827,516,0,583,0,614,1,780,1
37,桔子水晶北京丽泽商务区天坛医院酒店,Crystal Orange Beijing Lize Business District Tiantan Hospital Hotel,免费停车,39.842202,116.327483,455,0,515,3,542,3,688,1
38,北京银保建国酒店,Yinbao Jianguo Hotel,泳池,39.943367,116.184595,496,1,560,3,590,0,749,4
39,北京后海鼓楼四合院漫心府,Beijing Houhai Gulou courtyard MANXIN Hotel,智能客控,39.947828,116.392893,685,1,774,2,815,0,1035,1
40,北京临空皇冠假日酒店,Crowne Plaza Beijing International Airport,泳池,40.063836,116.556456,468,2,529,0,557,2,707,4
41,北京福庭酒店,Livefortuna Hotel,免费停车,39.916277,116.438176,550,0,622,3,655,2,832,1
42,北京南站右安门桥亚朵酒店,Atour Hotel Youanmenqiao Beijing South Railway Station,家庭房,39.869178,116.367299,590,2,667,0,702,0,892,2
43,北京东方茂酒店(簋街北新桥地铁站店),Beijing Oriental Mao Hotel (Gujie Beixinqiao Subway Station),管家服务,39.941345,116.411923,611,0,691,2,727,0,923,3
44,秋果酒店(北京望京科技园店),True Go Hotel (Beijing Wangjing Science Park store),免费停车,40.008296,116.477856,570,1,645,1,679,1,862,4
45,北京北辰汇园酒店公寓(贵宾楼),North Star Huiyuan Apartment Hotel (VIP building),酒店公寓,39.992771,116.406112,496,3,560,1,590,1,749,0
46,北京CBD国贸桥亚朵X酒店,Beijing CBD Guomao Bridge Yaduo X Hotel,免费停车,39.905022,116.466549,590,0,667,0,702,1,892,0
47,建国铂萃酒店(北京环球度假区店),Jianguo baicui Hotel (Beijing Universal resort),免费停车,39.864021,116.666418,406,1,459,2,483,0,613,0
48,THE HUMBLE 厚居酒店(北京国家会议中心鸟巢店),The Humble Hotel,免费停车,39.999064,116.411535,432,1,488,1,514,0,653,2
49,北京国贸CBD亚朵S酒店xFunsCenter,Beijing International Trade CBD Yaduo s Hotel xfunscenter,机器人服务,39.915287,116.478263,494,0,559,1,588,0,747,1
50,北京安贞地坛亚朵酒店,Atour Hotel Beijing Anzhenditan,管家服务,39.964259,116.40721,590,2,667,1,702,1,892,2
51,北京朝阳公园亚朵酒店,Atour Hotel (Beijing Chaoyang Park),免费停车,39.921441,116.494674,627,2,709,3,746,0,947,2
52,北京长白山国际酒店,Changbaishan International Hotel,茶室,39.984832,116.410305,423,0,478,2,503,1,639,3
53,秋果酒店(北京西单金融街店),Qiuguo Hotel (Beijing Xidan Financial Street Fuwai Hospital),机器人服务,39.926261,116.37292,461,0,522,1,549,2,697,1
54,北京东方安颐国际酒店,Orient-Anyi international Hotel,桑拿,39.809789,116.095907,631,2,713,0,751,0,954,2
55,北京朝阳门亚朵酒店,Atour Hotel,免费停车,39.915889,116.436186,727,0,822,0,865,1,1099,0
56,北京宝欐酒店(国贸SKP店),Beijing BoLLy Wood  Hotel (Guomao SKP Store),SPA,39.912758,116.477598,494,0,559,0,588,1,747,2
57,北京中关村理工大学漫心酒店,"Manxin Hotel, Beijing Zhongguancun University of Technology",洗衣房,39.95675,116.316845,540,1,611,1,643,2,817,2
58,北京和平里对外经贸大学亚朵酒店,Atour Hotel  Hepingli&University of International Business Beijing,免费停车,39.978811,116.424332,679,0,768,1,808,0,1026,0
59,桔子水晶北京国贸建国门酒店,Crystal Orange Hotel (Beijing International Trade Jianguomen),免费停车,39.905472,116.448027,535,1,605,0,637,3,809,1
60,隐卓酒店(团结湖店),Enjoy Hotel,免费停车,39.932867,116.462316,435,1,492,0,518,0,658,0
61,北京天安门王府井美仑酒店,Madison Hotel Wangfujing Tiananmen Beijing,多功能厅,39.91138,116.408976,622,2,704,1,741,0,941,1
62,原拓酒店(北京环球度假区店),Yuantuo Hotel (Beijing Global Resort),免费停车,39.883874,116.666369,386,1,436,0,459,0,583,0
63,秋果酒店·景星(北京协和医院王府井店),Qiuguo Hotel Jingxing (Beijing Union Hospital Wangfujing Branch),机器人服务,39.916364,116.430557,417,0,472,1,497,1,631,0
64,北京中关村美居酒店,Mercure Hotel,机器人服务,39.946814,116.323134,579,2,655,0,689,0,875,3
65,北京天安门王府井合院漫心府,Beijing Tiananmen Wangfujing courtyard Manxin Hotel,管家服务,39.916838,116.415008,666,0,753,0,793,1,1007,2
66,秋果酒店(北京望京SOHO店),Qiu Guo Hotel (Beijing Wangjing SOHO),免费停车,39.985759,116.47522,478,0,541,3,569,3,723,2
67,北京亚运村国家会议中心亚朵酒店,Atour Hotel Yayuncun National Conference Center,免费停车,39.996743,116.418651,590,0,667,1,702,1,892,0
68,北京安贞奥体中心美居酒店,Mercure Beijing Anzhen Olympic Center,免费停车,39.971976,116.408013,533,0,603,1,635,4,806,0
69,北京国贸潘家园亚朵酒店,Beijing Guomao Panjiayuan Yaduo Hotel,机器人服务,39.876434,116.464919,494,2,559,0,588,3,747,0
70,秋果酒店(北京三元桥燕莎店),Qiu Guo Hotel (Beijing Sanyuanqiao Yansha),免费停车,39.958167,116.462072,445,2,504,3,530,1,673,2
71,北京首都宾馆,Capital Hotel,多功能厅,39.901789,116.409261,637,0,720,1,758,3,963,0
72,北京太阳花酒店(北京环球影城度假区店),Beijing Sunflower Hotel (Beijing Universal Studios Resort),免费停车,39.889146,116.653591,502,2,568,1,598,2,759,2
73,北京大方瑞廷西郊酒店,Grand Kingtown Hotel Beijing,机器人服务,39.892895,116.32466,473,0,535,3,563,0,715,2
74,和颐至尚酒店(北京国贸建国门店),Yitel Hotel,智能客控,39.907027,116.444095,437,0,494,0,520,2,660,0
75,北京通州环球度假区美居酒店,Mercure Beijing Tongzhou Global Resort,免费停车,39.875104,116.662328,526,3,595,1,626,1,795,3
76,北京豪庭国际酒店(朝阳大悦城青年路地铁站店),Beijing Grand Court International Hotel (Chaoyang Dayue City Qingnian Road subway station),免费停车,39.924788,116.521221,468,1,529,1,557,1,707,0
77,北京中关村苏州街漫心酒店,Beijing Zhongguancun Suzhou Street Manxin Hotel,免费停车,39.96483,116.308812,550,3,622,1,655,0,832,2
78,桔子水晶北京朝阳公园酒店,Crystal Orange Beijing Chaoyang Park Hotel,机器人服务,39.923541,116.494124,432,1,488,3,514,0,653,2
79,桔子水晶北京酒仙桥酒店,Crystal Orange Beijing JiuXianQiao Hotel,免费停车,39.975931,116.489265,491,2,556,2,585,2,743,1
80,北京石景山游乐园希尔顿欢朋酒店,Hampton by Hilton Beijing Shijingshan Amusemen Park,免费停车,39.920374,116.206177,449,1,508,2,535,0,679,1
81,北京右安门西铁营地铁站亚朵酒店,Beijing You 'anmen West Railway Camp Station Atour Hotel,机器人服务,39.85809,116.354324,590,2,667,2,702,1,892,0
82,秋果酒店(北京五棵松301解放军总医院店),Qiuguo Hotel (Beijing Wukesong 301 PLA General Hospital),免费停车,39.905771,116.271441,419,2,474,0,499,0,634,0
83,北京临空新国展亚朵酒店,Atour Hotel (Beijing Linkong New National Exhibition Center),免费停车,40.107267,116.558807,442,0,500,2,526,0,668,2
84,北京西站六里桥亚朵酒店,"Atour Hotel, Liuliqiao, Beijing West Railway Station",机器人服务,39.8826,116.312233,501,0,566,1,596,0,757,1
85,北京天坛东门亚朵酒店,Yaduo Hotel  east gate of Tiantan Beijing,免费停车,39.887117,116.426159,553,2,625,2,658,1,836,1
86,北京首都机场新国展亚朵酒店,Atour Hotel Beijing Capital Airport New National Exhibition,智能客控,40.060581,116.574869,479,2,542,1,570,1,724,0
87,北京大兴国际机场亚朵S酒店,Atour S Hotel Beijing Daxing International Airport,免费停车,39.525811,116.411649,471,1,533,5,561,0,712,2
88,北京建国门漫心酒店,Beijing Jianguomen Manxin Hotel,洗衣房,39.9164,116.436376,499,3,564,2,594,1,754,2
89,桔子水晶北京朝阳门酒店,Crystal Orange Hotel Beijing Chaoyangmen,机器人服务,39.918166,116.443409,478,0,541,2,569,0,723,0
90,北京上地智选假日酒店,Holiday Inn Express Shangdi Beijing,免费停车,40.03672,116.314615,515,0,582,2,613,0,779,0
