id,name,hotelname_en,featurehoteltype,lat,lon,single_room_price,single_room_stock,king_room_price,king_room_stock,double_bed_price,double_bed_stock,family_room_price,family_room_stock
0,成都东方美豪丽致酒店,Chengdu Oriental Mehood Lestie Hotel,管家服务,30.629545,103.974556,339,1,367,1,399,1,507,3
1,索菲斯锦苑宾馆(成都春熙路文殊院店),Sofis Jinyuan Hotel,管家服务,30.67709,104.071223,354,2,383,1,416,2,528,0
2,成都城市名人酒店,Celebrity City Hotel,桑拿,30.654071,104.06535,300,0,325,0,353,1,448,2
3,成都悠泊豪生荟酒店,Howard Johnson Upark Business Club Chengdu,家庭房,30.6042,103.988209,347,0,375,0,408,1,518,7
4,美豪丽致酒店成都天府新区环球中心会展店,"Meiholi Zhi Hotel (Huayang Branch, Tianfu New District)",桑拿,30.520868,104.05269,297,1,321,0,349,4,443,1
5,成都丽呈明宇丽雅饭店(春熙太古里店),Lia! By Minyoun Chengdu Rezen Hotel (Chunxi Taikoo Li Store),SPA,30.657361,104.069198,409,0,443,0,481,1,611,0
6,雅悦蓝天酒店,Elegant Azure Hotel,管家服务,30.631369,104.144984,312,0,338,2,367,0,466,0
7,成都帝盛酒店(春熙路文殊院店),Dorsett Chengdu,行政酒廊,30.667408,104.067398,338,1,366,1,398,1,505,1
8,成都璞悦天府酒店,Projoy Hotel Tianfu,泳池,30.525961,104.068655,424,1,459,1,499,1,634,3
9,成都凯宾斯基饭店,Kempinski Hotel Chengdu,SPA,30.618637,104.066265,512,1,554,1,602,4,765,1
10,成都宽窄人民公园地铁站亚朵S酒店,Chengdu Kuanzhai People's Park Subway Station Atour S Hotel,管家服务,30.65955,104.057812,432,2,467,3,508,0,645,2
11,成都雅居乐豪生大酒店,Howard Johnson Agile Plaza Chengdu,桑拿,30.490282,104.136449,398,1,431,0,468,0,594,0
12,成都恒邦天府喜来登酒店,Sheraton Chengdu Pidu,桑拿,30.788063,103.857226,500,1,541,0,588,0,747,0
13,瓦当瓦舍酒店(成都金融环球中心店),Traveling With Hotel (Chengdu Financial Global Center),智能客控,30.585958,104.056659,245,2,265,2,288,0,366,1
14,成都友豪锦江酒店,Youhao Jinjiang Hotel,管家服务,30.633102,103.994523,339,4,367,1,399,2,507,1
15,成都祥宇宾馆,Xiangyu Hotel,免费停车,30.636985,104.076656,360,0,390,3,424,1,538,2
16,成都新华宾馆,Chengdu Xinhua Hotel,山景房,30.674357,104.065188,339,0,367,0,399,1,507,0
17,成都新希望高新中心假日酒店,Holiday Inn Chengdu High-Tech Center,茶室,30.728004,103.973285,371,0,402,1,437,1,555,3
18,成都双流机场杰恩酒店(奥特莱斯店),Gene Hotel,免费停车,30.60387,103.939776,256,0,277,0,301,1,382,0
19,成都东方广场假日酒店 (春熙路太古里店),Holiday Inn Chengdu Oriental Plaza,泳池,30.647978,104.088831,508,0,550,1,598,0,759,0
20,成都雅诗阁来福士,Ascott Raffles City Chengdu,泳池,30.631362,104.067403,458,2,496,0,539,2,685,3
21,成都新东方千禧大酒店,Millennium Hotel Chengdu,SPA,30.613025,104.0491,424,1,459,0,499,0,634,0
22,成都缦道大酒店(金牛万达店),Chengdu Mandao Hotel (Jinniu Wanda Branch),管家服务,30.692287,104.067944,389,5,421,1,458,0,582,2
23,成都澄舍酒店(温江大学城西南财大店),Chengdu Chengshe Hotel (Wenjiang University Town Southwest Caida Branch),免费停车,30.684472,103.825315,337,1,365,1,397,1,504,0
24,成都雅诗阁秦皇服务公寓,Ascott Qinhuang Chengdu,泳池,30.428544,104.086043,339,1,367,2,399,1,507,3
25,成都天新蜀域国际酒店(西博城店),TianXinshuyu INTERNATIONAL HOTEL,停车场,30.43202,104.061598,347,2,375,1,408,0,518,2
26,成都辉盛庭国际公寓,Fraser Residence Chengdu,桑拿,30.572769,104.075912,330,0,357,0,388,1,493,0
27,成都家园国际酒店,Homeland Hotel,桑拿,30.577755,104.011018,363,0,393,1,427,1,542,3
28,成都世纪城假日酒店-西楼,Holiday Inn Chengdu Century City,行政酒廊,30.558004,104.073921,456,0,493,1,536,0,681,0
29,成都中航明宇尚雅酒店,GALAXY MINYOUN CHENGDU XINDU HOTEL,自营亲子房,30.811111,104.084485,350,1,379,0,412,0,523,1
30,成都空港云享酒店(双流机场店),CHENGDU JOYHUB AIR HOTEL,泳池,30.574848,103.960494,321,0,348,2,378,1,480,3
31,成都保利辉盛坊国际公寓,Fraser Place Chengdu,家庭房,30.556195,104.061319,370,0,400,0,435,0,552,8
32,丽柏酒店(成都四河地铁站新川店),Park Inn by Radisson Chengdu Convention and Exhibition Center Xinchuan,窗外好景,30.517024,104.078235,338,1,366,0,398,1,505,4
33,成都新都豪生Life酒店,HOWARD JOHNSON Life,家庭房,30.803662,104.15995,314,3,340,2,370,2,470,1
34,橙果酒店(成都宽窄巷子通惠门地铁站店),"Orange Fruit Hotel (Chengdu Kuanzhai Alley, Tonghuimen Metro Station)",免费停车,30.661073,104.05048,295,0,319,1,347,0,441,0
35,丽呈東谷酒店(成都天府广场店),Rezen Dong Hotel Chengdu Tianfu Plaza Store,免费停车,30.65694,104.062184,343,0,372,0,404,1,513,0
36,成都太古里春熙林恩国际酒店,Lyhn International Hotel,免费停车,30.659962,104.076052,338,1,366,0,398,1,505,0
37,成都蓉城悦柳·采薇美食酒店,Chengdu willow hotel,免费停车,30.637218,104.065956,280,1,304,2,330,2,419,0
38,隐栖堂酒店(四川大学新南门地铁站店),Yinxitang Hotel (Sichuan University Xinnanmen Subway Station Branch),免费停车,30.642922,104.074054,253,2,274,2,298,1,378,0
39,成都宽窄巷子希尔顿欢朋酒店,Hampton by Hilton Chengdu Kuanzhai Alley,免费停车,30.68144,104.052865,389,0,421,1,458,0,582,0
40,棠棣东方酒店,TANGDI ORIENTAL HOTEL,管家服务,30.500146,103.954927,297,0,321,3,349,1,443,3
41,成都总府皇冠假日酒店,Crowne Plaza Chengdu City Center,泳池,30.658654,104.077996,467,2,505,3,549,1,697,1
42,成都东大明宇豪雅饭店,Minyoun Chengdu Dongda Hotel,泳池,30.647184,104.091061,509,1,551,1,599,2,761,1
43,四川岷山饭店,Minshan Hotel,泳池,30.648693,104.066867,422,1,457,2,497,1,631,2
44,成都明宇尚雅饭店,Galaxy Minyoun Chengdu Hotel,桑拿,30.646081,104.064157,448,0,485,1,527,1,669,2
45,隐栖堂酒店(成都春熙路天府广场店),The Hidden House (Chengdu Chunxi Road & Tianfu Square Branch),日光浴场,30.660659,104.071547,275,0,297,0,323,1,410,0
46,隐栖堂美学生活酒店(成都杜甫草堂西南财大地铁站店),Yinqitang Hotel,免费停车,30.661934,104.022082,336,0,363,0,395,1,502,0
47,四川锦江宾馆,Jinjiang Hotel,泳池,30.648101,104.0655,411,0,444,2,483,0,613,1
48,秋果S酒店(宽窄巷子奎星楼街店),"True Go  S Hotel (Kuixinglou Food Street, Kuanzhai Alley)",机器人服务,30.669896,104.0529,263,0,284,4,309,1,392,2
49,成都宽窄巷子亚朵酒店,Atour Hotel (Chengdu Kuanzhai Alley),管家服务,30.660832,104.057322,365,0,395,0,429,2,545,2
50,成都太古里未来中心亚朵酒店,Atour Hotel (Chengdu Taikoo Li),免费停车,30.650757,104.095489,402,1,435,1,473,1,601,5
51,成都Pagoda君亭设计酒店,Pagoda Hotel Chengdu Taikoo Li,管家服务,30.658736,104.081467,721,2,780,2,848,1,1077,0
52,成都万达瑞华酒店,Wanda Reign Chengdu,桑拿,30.647298,104.069665,789,2,854,1,928,0,1179,2
53,成都富力丽思卡尔顿酒店,The Ritz-Carlton Chengdu,桑拿,30.664021,104.070074,1214,0,1314,2,1428,0,1814,1
54,成都万达颐华酒店,"Wanda Yi, Chengdu",管家服务,30.62147,104.093632,535,1,579,1,629,2,799,2
55,魔住智慧酒店(成都太古里IFS店),Mozhu Wisdom Hotel(Chengdu Taikoo Li Store),免费停车,30.656274,104.082926,292,0,316,0,344,0,437,2
56,成都太古里IFS禧玥酒店,Chengdu Taikoo Li IFS Joya Hotel,管家服务,30.650551,104.083483,704,1,762,0,828,0,1052,0
57,成都环球中心MUSTEL木文缇酒店,Chengdu Global Center MUSTEL Muwenti Hotel,免费停车,30.582963,104.053471,339,1,367,0,399,0,507,0
58,成都瑯珀·凯悦臻选酒店,"The Langbo Chengdu, in The Unbound Collection by Hyatt",桑拿,30.648532,104.083181,857,0,927,1,1008,0,1280,0
59,成都环球中心天堂洲际大饭店,InterContinental Chengdu Global Center,泳池,30.567055,104.062602,734,1,795,1,864,1,1097,0
60,成都海湾大酒店,Grand Bay Hotel Chengdu,SPA,30.530434,104.070802,760,2,822,2,894,3,1135,0
61,成都博舍,The Temple House,桑拿,30.651518,104.084473,2200,0,2381,0,2588,0,3287,1
62,成都太古里亚朵S酒店,Chengdu Taikoo Li Atour S Hotel,泳池,30.651379,104.083954,634,1,686,3,746,1,947,0
63,成都锦城原舍酒店(锦里武侯祠店),Jincheng Yuanshe Hotel,免费停车,30.64047,104.042407,286,0,309,3,336,4,427,1
64,成都木棉花酒店,MUMIAN CHENGDU,智能客控,30.648304,104.116247,764,2,827,0,899,1,1142,2
65,SFEEL设计师酒店(成都火车南站店),Sfeel Designer Hotel (Chengdu South Railway Station Branch),免费停车,30.608772,104.068875,313,1,339,2,368,2,467,3
66,成都涧山堂酒店(宽窄巷子店),JIAN SHAN TANG,家庭房,30.675602,104.051064,326,0,352,0,383,1,486,3
67,中建·锦江都城酒店(成都春熙路太古里店),ZhongJian·Jinjiang   Metropolo  Chengdu Chunxi Road  Tai Koo Li Hotel,免费停车,30.647186,104.069568,338,2,366,0,398,3,505,3
68,世茂成都茂御酒店(春熙路太古里店),Yuluxe Hotel Chengdu,泳池,30.67073,104.094801,491,0,532,1,578,1,734,0
69,成都环球中心木莲庄酒店,The Mulian Hotel,免费停车,30.582862,104.052448,321,3,348,2,378,2,480,0
70,盛铂仕丹酒店(成都锦里武侯祠店),Senberstan Hotel (Chengdu Jinli Wuhou Temple),免费停车,30.646622,104.055042,287,1,311,0,338,1,429,4
71,成都仁和春天酒店,Renhe Spring Hotel,桑拿,30.662428,104.019166,679,1,735,1,799,1,1015,1
72,成都浣花锦城酒店,Huanhua Jincheng Hotel,免费停车,30.656369,104.038263,280,0,303,0,329,2,418,0
73,成都院子酒店,CD YUENCHI,免费停车,30.674016,104.074078,677,1,733,0,797,2,1012,1
74,成都钓鱼台精品酒店,Diaoyutai Boutique Hotel Chengdu,免费停车,30.664608,104.05153,1975,0,2138,1,2324,1,2951,0
75,城市西游里酒店(成都春熙路天府广场店),City Xiyouli Hotel,免费停车,30.670372,104.066279,297,0,321,2,349,2,443,1
76,榛悦隆堡成都酒店,Rhombus Park Aura Chengdu Hotel,泳池,30.650237,104.082041,554,1,600,2,652,1,828,2
77,成都科华明宇豪雅饭店,Minyoun Chengdu Kehua Hotel,SPA,30.590541,104.078716,581,2,628,2,683,0,867,0
78,成都东安湖木棉花酒店,Mumian Chengdu Dong'an Lake,泳池,30.593399,104.244574,550,1,595,0,647,2,822,1
79,成都铂韵·锦江宾馆,Boyun · Jinjiang Hotel,免费停车,30.622437,104.04965,339,2,367,2,399,1,507,0
80,成都世纪城天堂洲际大饭店,Intercontinental Century City Chengdu,Boss推荐,30.55994,104.072279,825,2,893,1,971,0,1233,1
81,成都官塘安麓酒店,Ahnluh Guantang,日光浴场,30.397635,104.041209,2066,3,2236,3,2430,1,3086,0
82,丽呈假日S酒店(成都火车南站),Rezen Holiday S Hotel (Chengdu South Railway Station),免费停车,30.607505,104.05895,338,2,366,0,398,2,505,1
83,成都棕榈泉费尔蒙酒店,Fairmont Chengdu,桑拿,30.553116,104.069976,922,1,998,2,1085,1,1378,2
84,成都九眼桥美居酒店(太古里店),Mercure Chengdu Jiuyanqiao (Taikoo Li Branch),机器人服务,30.643073,104.090105,308,0,333,1,362,0,460,0
85,铂领荟酒店(成都军区总医院熊猫基地西大门地铁站店),Bolinghui Hotel (Chengdu Panda Base West Gate Subway Station Store),免费停车,30.742201,104.114973,277,1,300,2,326,2,414,3
86,四川锦江宾馆贵宾楼,Sichuan Jinjiang Hotel VIP Building,泳池,30.648221,104.064868,701,0,759,2,825,1,1048,0
87,成都天府皇冠假日酒店,Crowne Plaza Chengdu Tianfu New Area,网红泳池,30.532473,104.047121,538,2,582,1,633,1,804,1
88,成都西金阁全套房公寓,Xijinge Suite Apartment,免费停车,30.647782,104.083417,372,0,403,2,438,1,556,0
89,成都上层名人酒店,Celebrity Upper Class Hotel,桑拿,30.676121,104.079537,287,1,311,1,338,0,429,1
90,成都释玥森林酒店,Chengdu Shiyu Forest Hotel,管家服务,30.421395,104.23659,2461,1,2663,2,2895,2,3677,0
91,成都盛美利亚酒店,Gran Melia Chengdu,桑拿,30.575332,104.03968,754,1,816,0,887,0,1126,0
92,维也纳国际酒店(成都春熙路太古里店),Vienna International Hotel (Chengdu Chunxi Road Taikoo Li Branch),免费停车,30.665567,104.082472,298,3,322,1,350,2,444,1
93,Sia Suites西雅轻奢公寓(成都太古里店),Sia Suites (Chengdu Tai Koo Li),动人夜景,30.652033,104.081249,364,2,394,2,428,2,544,1
94,成都太古里春熙路地铁站亚朵轻居酒店,"Atour Light (Chengdu Taikoo Li, Chunxi Road Metro Station)",免费停车,30.654376,104.078131,335,1,362,0,394,1,500,2
95,SFEEL设计师酒店(成都太古里店),SFEEL Designer Hotel (Chengdu Taikoo Li),私人泳池,30.65694,104.090169,313,0,339,3,368,0,467,2
96,大魔方･云曦天际S设计师酒店(成都金融城环球中心店),Xihui Taigu Yunxi,江河景房,30.575398,104.071257,253,4,274,1,298,1,378,1
97,成都明悦大酒店,Minya Hotel,泳池,30.625481,104.048062,384,1,416,0,452,0,574,0
98,成都水街黉台酒店,ShuijieHongtai Hotel,管家服务,30.556067,104.049168,806,2,872,3,948,2,1204,0
99,成都禅驿·锦城院子酒店,Chengdu Chanyi Jincheng Courtyard Hotel,免费停车,30.714432,103.992672,491,0,532,2,578,0,734,0
100,成都春熙太古里正熙美仑酒店,Zenec International Hotel (Chengdu Chunxi Tai Koo Li),棋牌室,30.653506,104.078531,344,0,373,0,405,1,514,0
101,成都东郊记忆美居酒店(理工大学店),Chengdu Chenghua East Suburb Memory Mercure Hotel (University of Science and Technology),免费停车,30.673714,104.135074,352,0,381,3,414,2,526,2
102,Sungold尚古酒店(成都太古里店),Sungold Hotel (Chengdu Taikoo Li),泳池,30.653506,104.086897,286,1,309,0,336,1,427,0
103,成都春熙路天府广场合正艺品酒店,"HAZENS Hotel (Chengdu Chunxi Road, Tianfu Square)",免费停车,30.656771,104.067946,270,2,293,1,318,1,404,2
104,成都武侯渝江皇冠假日酒店,Crowne Plaza Chengdu Wuhou,泳池,30.645311,103.98276,709,3,767,2,834,2,1059,1
105,成都C3酒店(天府艺术公园店),Chengdu C3 Hotel (Tianfu Art Park),家庭房,30.711006,104.025574,460,0,498,0,541,0,687,3
106,成都尧棠公馆,YiuTeung Mansion,管家服务,30.563862,104.049229,882,2,955,4,1038,1,1318,0
107,成都熊猫很困酒店,P.d PANDA HOTEL,免费停车,30.644847,104.106231,285,1,308,0,335,5,425,1
108,成都文殊坊亚朵酒店,Atour Hotel (Chengdu Wenshufang),管家服务,30.669485,104.070487,372,0,403,4,438,2,556,1
109,成都九眼桥悦尚丽呈酒店(春熙路店),Chengdu Jiuyanqiao Yueshang Lizheng Hotel (Chunxi Road Branch),免费停车,30.641001,104.09103,380,0,411,0,447,3,568,4
110,魔住智慧恒温汤池酒店(春熙路太古里店),Magic Live Smart Hotel(Chunxi Road Taikoo Li Branch),网红泳池,30.664783,104.084189,278,1,301,1,327,2,415,1
111,成都尊悦豪生酒店,Howard Johnson Zunyue Hotel Chengdu,免费停车,30.70766,104.000606,440,1,477,1,518,3,658,1
112,成都云豪高空酒店(金牛万达梁家巷地铁站店),Chengdu Yunhao High Altitude Hotel (Jinniu Wanda Liangjiaxiang Subway Station),免费停车,30.680394,104.087127,238,1,258,0,280,1,356,3
113,成都太古里河畔亚朵酒店,Atour Hotel (Chengdu Taikoo Li),免费停车,30.654614,104.08983,380,1,411,1,447,1,568,2
114,成都高新豪生大酒店,Howard Johnson Hi-Tech Plaza Chengdu,泳池,30.590265,104.069561,590,1,638,2,694,2,881,2
115,成都浣花溪智选假日酒店,Holiday Inn Express Chengdu Huanhuaxi,免费停车,30.65195,104.004369,311,1,337,3,366,0,465,2
116,成都桐梓林火车南站亚朵酒店,Atour Hotel (Chengdu Tongzilin and South Railway Station),免费停车,30.608371,104.056976,311,0,337,0,366,2,465,2
117,成都宽窄巷子奎星楼街亚朵X酒店,Yaduo X  Hotel Chengdu Kuanzhai Kuixinglou Alley,免费停车,30.667732,104.056326,305,0,330,1,359,1,456,1
118,成都宏鼎温德姆至尊豪廷大酒店,Wyndham Grand Plaza Royale Palace Chengdu,桑拿,30.793041,103.902315,475,3,514,1,559,2,710,2
119,西金中心·云曦天际S公馆(春熙路西部国际金融中心店),WIFC Taikoo Yunxuan International Apartment (Chunxi Road West International Financial Center Branch),动人夜景,30.647825,104.082946,263,1,284,3,309,2,392,2
120,成都七一世外桃源酒店,"CYNN XANADU HOTEL, CHENGDU",SPA,30.822061,104.171152,653,0,707,1,768,2,975,2
121,成都九眼桥东大街亚朵酒店,East Street Jiuyanqiao Chengdu Atour Hotel,免费停车,30.643672,104.092472,397,4,430,3,467,0,593,1
122,成都仁恒格蓝柏薇酒店公寓,Grand ParcVue Hotel Residence Chengdu,桑拿,30.651964,104.068001,534,2,578,1,628,1,798,1
123,京元丽呈酒店(成都熊猫基地店),Jingyuan Licheng Hotel (Chengdu Panda Base),免费停车,30.790515,104.144088,301,2,326,2,354,0,450,2
124,成都望江宾馆,Wangjiang Hotel (Wangjiang Jiudian),泳池,30.627009,104.113624,509,2,551,3,599,1,761,0
