id,name,hotelname_en,featurehoteltype,lat,lon,single_room_price,single_room_stock,king_room_price,king_room_stock,double_bed_price,double_bed_stock,family_room_price,family_room_stock
0,重庆清阅·OneJasper精选酒店,Qingyue OneJasper select Hotel,管家服务,29.538263,106.51261,221,2,262,2,291,1,396,1
1,重庆美利亚酒店,Melia Chongqing,泳池,29.600078,106.681531,430,0,509,0,566,0,770,3
2,重庆雾都宾馆,Wudu Hotel,泳池,29.564909,106.551346,320,1,379,1,421,1,573,1
3,重庆渝商国际大酒店,Yushang International Hotel,免费停车,29.617377,106.519009,321,2,380,1,422,1,574,0
4,重庆世纪金源大饭店,Chongqing Empark Grand Hotel,免费停车,29.574811,106.529797,303,1,359,1,399,1,543,2
5,重庆北站亚朵酒店,Chongqing North Railway Station Atour Hotel,免费停车,29.603878,106.553201,252,1,299,1,332,2,452,4
6,重庆君豪大饭店,King World Hotel,泳池,29.559289,106.527161,271,0,321,1,357,1,486,0
7,重庆沙磁公馆,Such Mansion,管家服务,29.579584,106.454819,287,0,340,0,378,1,514,0
8,重庆华辰国际大酒店,HC International Hotel,湖景房,29.705983,106.611381,255,3,302,1,336,1,457,1
9,重庆两江假日酒店,River & Holiday  Hotel ChongQing,管家服务,29.583068,106.527963,335,2,397,1,441,0,600,2
10,重庆解放碑洪崖洞江景亚朵S酒店,Chongqing Jiefangbei Hongyadong  river view Atour s Hotel,动人夜景,29.561356,106.573953,326,2,386,0,429,0,583,1
11,朗丽兹酒店(重庆南滨路圣地温泉店),Palace Hotels (Chongqing Nanbin Road Holy Land Hot Spring Branch),温泉泡汤,29.539985,106.582452,290,1,344,0,382,0,520,0
12,重庆观音桥华美达安可酒店,Ramada Encore by Wyndham Chongqing Yubei,SPA,29.589353,106.533117,233,0,276,1,307,3,418,3
13,重庆万垚酒店,Chongqing Wanyao Hotel,家庭房,29.528644,106.576643,303,0,359,1,399,0,543,6
14,重庆铜梁天喜大酒店,The  grand Tianxi  plaza chong qing,免费停车,29.836587,106.080117,246,2,292,3,324,2,441,0
15,麗枫酒店(重庆悦来国际博览中心中央公园店),Lavande Hotel (Chongqing Yuelai International Expo Center Central Park),窗外好景,29.722563,106.577262,186,0,220,2,245,1,333,1
16,仙女山中科依云酒店,Zhongke Yiyun Hotel,泳池,29.419497,107.759671,281,1,333,0,370,0,503,0
17,重庆仙女山明宇尚雅酒店,Galaxy Minyoun Hotel,山景房,29.406302,107.768157,262,0,310,0,345,3,469,1
18,重庆威灵顿酒店,Wellington Hotel,管家服务,29.610207,106.519735,351,1,416,0,462,0,628,0
