id,name,hotelname_en,featurehoteltype,lat,lon,single_room_price,single_room_stock,king_room_price,king_room_stock,double_bed_price,double_bed_stock,family_room_price,family_room_stock
0,广州番禺万博中心舒与酒店,Guangzhou Panyu Wanbo Center Skanhem Hotel,影音房,23.009654,113.346259,409,2,483,2,493,1,828,3
1,广州天河体育中心美居酒店,Guangzhou Tianhe Sports Center Mercure Hotel,管家服务,23.142072,113.328613,393,3,465,1,474,3,796,1
2,广州东站城际酒店,Intercity Guangzhou East Railway Station Hotel,停车场,23.151183,113.32869,457,0,540,0,551,0,926,2
3,广州建国酒店,"Jianguo Hotel, Guangzhou",泳池,23.147862,113.326259,417,2,492,1,502,3,843,2
4,广州北京路天字码头亚朵S酒店,"Atour S Hotel, Beijing Road Tianzi Wharf, Guangzhou",免费停车,23.115333,113.271483,466,1,550,0,561,0,942,2
5,宜致酒店(广州长隆野生动物世界店),Yizhi Hotel (Guangzhou Chimelong Wildlife World),家庭房,23.0087,113.308714,265,1,313,1,319,0,536,5
6,广州珠江太古仓亚朵S酒店,Atour S Hotel Guangzhou Zhujiang Taigucang,免费停车,23.079959,113.266346,442,1,522,0,533,1,895,0
7,广州粤大金融城国际酒店,Yueda Financial City International Hotel,亲子主题房,23.119562,113.37278,413,0,488,2,498,2,837,3
8,广州天河太古汇喆啡锐品酒店,Guangzhou Tianhe Taikoohui - Coffee Rupin Hotel,免费停车,23.135573,113.340341,470,0,555,0,566,1,951,0
9,美豪丽致酒店(广州东站店),Mehood LIZ Hotel(Guangzhou East Station Store),管家服务,23.150977,113.321899,444,0,524,1,535,0,899,5
10,广州白云国际机场T1航站楼美居酒店,Mercure Hotel Guangzhou Baiyun International Airport Terminal T1,免费停车,23.42671,113.312363,321,0,379,2,387,1,650,0
11,广州天河珠江新城澳斯特精选酒店,"Ausotel Smart Hotel Guangzhou Zhujiang New Town , Canton Fair Free Shuttle",免费停车,23.12787,113.343098,364,1,429,1,438,1,736,3
12,城迹酒店(广州正佳太古汇石牌桥地铁站店),City Join Hotel (Guangzhou Sports Center Shipaiqiao Metro Station),免费停车,23.131209,113.331002,331,1,391,0,399,1,670,2
13,美丽豪酒店(广州番禺店),Merlinhod Hotel,管家服务,22.951335,113.427748,388,3,459,2,468,1,786,1
14,宜致酒店(广州珠江新城华师地铁站店),Y.Zhi Hotel,免费停车,23.136252,113.349083,276,3,326,2,333,1,559,1
15,广州汇华希尔顿逸林酒店,DoubleTree by Hilton Guangzhou-Science City,泳池,23.1813,113.474508,466,1,550,2,561,1,942,1
16,宜致酒店(广州珠江新城岗顶地铁站店),Y.ZHI HOTEL,免费停车,23.131091,113.343344,273,1,322,2,329,2,553,2
17,广州云岭湖酒店,VLAMHOO HOTEL,日光浴场,23.547368,113.570676,447,1,527,0,538,1,904,0
18,广州高铁南站亚朵酒店,Guangzhou  Railway South Station Atour Hotel,免费停车,22.985382,113.280401,408,1,481,0,491,0,825,2
19,枫林国际公寓(广州南沙客运港天后宫店),Fenglin International Apartment (Guangzhou Nansha Zhujiang Tianhougong Branch),免费停车,22.742836,113.58452,242,0,285,2,291,1,489,2
20,广州景阁酒店(白云国际机场T2航站楼店),Guangzhou Jingge Hotel,免费停车,23.433344,113.315728,238,3,281,1,287,0,482,0
21,广州江泰路地铁站亚朵酒店,Atour Hotel (Guangzhou Jiangtai Road Metro Station),免费停车,23.083093,113.278927,495,1,584,2,596,2,1001,1
22,广州增城富力万达嘉华酒店(增城万达广场店),Wanda Realm Zengcheng Guangzhou,亲子主题房,23.275698,113.813424,344,1,407,0,415,0,697,5
23,美豪雅致酒店(广州白云机场T2航站楼店),Mehood Elegant Hotel (Guangzhou Baiyun Airport T2 Terminal),家庭房,23.433538,113.302832,422,0,498,0,508,1,853,1
24,麗枫(广州南站汉溪长隆站店),"Lavande Hotel (Guangzhou South Railway Station, Hanxi Changlong Station)",免费停车,22.970162,113.322218,295,1,349,1,356,2,598,1
25,广州南站丽芮酒店,Radisson RED Guang Zhou South Railway Station,免费停车,22.987556,113.27554,420,3,496,1,506,0,850,0
26,广州荔湾滘口地铁站亚朵酒店,"Atour Hotel Jiaokou subway station, Liwan, Guangzhou",免费停车,23.115958,113.208511,393,1,464,1,473,2,795,2
27,广州增城碧桂园希尔顿逸林酒店(增城万达广场店),DoubleTree by Hilton Guangzhou Zengcheng,泳池,23.274347,113.814148,400,3,472,3,482,1,810,1
28,广州嘉逸国际酒店,Grand International Hotel,泳池,23.140879,113.334978,406,0,479,0,489,0,822,2
29,广州大道天河体育中心亚朵酒店,Atour Hotel Guangzhou Avenue Tianhe Sports Center,免费停车,23.136141,113.315758,417,0,493,0,503,1,845,0
30,广州增城保利皇冠假日酒店(新塘高铁站店),Crowne Plaza Guangzhou Zengcheng,桑拿,23.108017,113.628155,381,2,450,4,459,1,771,0
31,广州白云国际会议中心越秀源宿酒店,Element Guangzhou Baiyun,泳池,23.187596,113.272923,493,1,582,3,594,3,998,0
32,CityNote希诺酒店(广州太古汇石牌桥地铁站店),CityNote Hotel (Guangzhou Taikoo Hui Shipaiqiao Metro Station),管家服务,23.133987,113.33021,413,0,488,0,498,1,837,1
33,宏阳·麗悦酒店(广州塔客村地铁站琶洲会展中心店),Hongyang Liyue Hotel (Canton Tower Kecun Railway Station and Pazhou International Exhibition Center),机器人服务,23.096603,113.329632,369,1,436,0,445,0,748,1
34,广州云来斯堡酒店,Vanburgh Hotel,免费停车,23.125463,113.341827,488,0,576,1,588,1,988,0
35,广州增城恒大酒店,Hengda Hotel,泳池,23.299682,113.616028,364,1,429,3,438,1,736,2
36,广州天河鼎龙希尔顿花园酒店,Hilton Garden Inn Guangzhou Tianhe,免费停车,23.155024,113.314601,423,0,500,1,510,1,857,1
37,广州花都金融中心亚朵酒店,Guangzhou Huadu Financial Center Atour Hotel,免费停车,23.410087,113.218356,356,1,420,0,429,2,721,3
38,广州白云山机场路亚朵X酒店,"Atour X Hotel, Baiyunshan Airport Road, Guangzhou",免费停车,23.194791,113.265822,349,0,412,3,420,2,706,2
39,广州恒大酒店(金沙洲),Hengda Hotel (Jinshazhou),泳池,23.191975,113.204454,352,1,416,0,424,2,712,4
