id,name,hotelname_en,featurehoteltype,lat,lon,single_room_price,single_room_stock,king_room_price,king_room_stock,double_bed_price,double_bed_stock,family_room_price,family_room_stock
0,杭州西湖湖滨平海路亚朵酒店,"Atour Hotel Pinghai Road, West Lake, Hangzhou",家庭房,30.254433,120.169771,419,1,482,2,482,0,636,1
1,杭州滨江开元名都大酒店,Grand New Century Hotel Binjiang Hangzhou,管家服务,30.169152,120.168127,433,0,498,0,498,2,657,0
2,杭州西溪谷君亭酒店,SSAW Boutique Hotel Hangzhou Xixi Park,管家服务,30.264508,120.106204,520,1,598,1,598,1,789,2
3,杭州海外海皇冠大酒店,Haiwaihai Crown Hotel,泳池,30.294193,120.159412,520,0,598,2,598,2,789,0
4,杭州湖山雷迪森庄园,Landison hushan Resort Hangzhou,湖景房,30.358211,120.201935,405,1,466,0,466,0,615,2
5,杭州西溪湿地亚朵酒店,Atour Hotel (Hangzhou Xixi Wetland),免费停车,30.257955,120.071142,304,0,350,3,350,0,462,1
6,浙江三立开元名都大酒店,Grand New Century Hotel Canal Hangzhou,行政酒廊,30.310393,120.159222,399,2,459,0,459,5,606,0
7,杭州钱塘璞硯酒店,The PuYan Hotel,免费停车,30.310149,120.33805,459,0,528,0,528,0,697,2
8,杭州中山西子湖酒店,Zhongshan West Lake Hotel Hangzhou,湖景房,30.254004,120.169733,434,2,499,0,499,1,659,0
9,杭州钱潮开元酒店,New Century Hotel Binjiang Hangzhou,江河景房,30.205832,120.209218,447,1,514,2,514,1,678,3
10,杭州火车东站亚朵酒店,Atour Hotel Hangzhou east railway station,免费停车,30.296208,120.202809,358,1,412,2,412,1,544,1
11,杭州华盛达雷迪森广场酒店,Landison HSD Plaza Hotel Hangzhou,多功能厅,30.324772,120.17902,441,2,507,2,507,1,669,2
12,杭州九堡客运中心璞硯酒店,Hangzhou Jiubao Passenger Transport Center puyan hotel,管家服务,30.309185,120.272213,409,1,470,2,470,1,620,0
13,杭州滨江Pagoda君亭设计酒店,Pagoda  Hotel Hangzhou Binjiang,江河景房,30.203529,120.196761,471,0,541,1,541,1,714,0
14,杭州钱江新城君亭酒店(近江地铁站店),Hangzhou Qianjiang New City SSAW Hotel,管家服务,30.230411,120.195464,434,1,499,0,499,3,659,1
15,杭州拱墅亚运公园亚朵酒店,Hangzhou GongShu Asian Games Park Atour Hotel,窗外好景,30.314895,120.108867,335,3,385,2,385,3,508,0
16,杭州安朴酒店,The Amber House Hangzhou,江河景房,30.180374,120.131903,480,0,552,0,552,0,729,1
17,杭州滨江宝龙艺珺酒店,Hangzhou Binjiang Powerlong Juntels Hotel,机器人服务,30.188592,120.167121,434,1,499,1,499,1,659,0
18,杭州宝盛水博园大酒店,Hangzhou Blossom Water Museum Hotel,泳池,30.2558,120.313314,416,1,478,1,478,2,631,2
19,杭州宝鼎开元名都大酒店,Grand New Century HotelGrand New Century Hotel Linping Hangzhou,泳池,30.475083,120.200886,423,1,486,0,486,3,642,0
20,浙江省人民大会堂宾馆,Zhejiang Great Hall of the people Hotel,免费停车,30.263833,120.154517,423,1,486,1,486,1,642,0
21,杭州钱王开元名都酒店,Grand New Century Hotel Linan Hangzhou,免费停车,30.229412,119.716507,496,0,570,0,570,0,752,1
22,杭州白马湖建国饭店,White Horse Lake Jianguo Hotel,泳池,30.161489,120.203711,433,0,498,1,498,0,657,0
23,杭州逸酒店,The East Hotel,管家服务,30.281218,120.154141,434,0,499,0,499,2,659,0
24,杭州紫金港Pagoda君亭设计酒店,Hangzhou Zijingang Pagoda SSAW Design Hotel,家庭房,30.311631,120.076522,428,0,492,0,492,0,649,2
