id,name,hotelname_en,featurehoteltype,lat,lon,single_room_price,single_room_stock,king_room_price,king_room_stock,double_bed_price,double_bed_stock,family_room_price,family_room_stock
0,南京南站逸扉酒店,UrCove by HYATT Nanjing South Railway Station,健身室,31.965803,118.801942,311,1,368,1,379,0,553,1
1,南京玄武饭店,Lakeview Xuanwu Hotel,桑拿,32.070791,118.783697,456,0,539,0,556,1,812,2
2,南京城市名人酒店,Celebrity City Hotel Nanjing,湖景房,32.062756,118.780628,353,1,418,0,431,2,629,1
3,南京维景国际大酒店,Grand Metropark Hotel Nanjing,泳池,32.040158,118.823291,383,1,453,0,467,0,682,1
4,南京高淳域见芳草地度假酒店,Wonderland  Resort Nan Jing,湖景房,31.350625,119.051378,444,2,525,0,541,0,790,4
5,美仑国际酒店(南京禄口机场店),Meilun International Hotel (Nanjing Lukou Airport),免费停车,31.733677,118.957325,296,1,350,3,361,0,527,1
6,南京古南都饭店,Nanjing Grand Hotel,泳池,32.051632,118.773456,432,1,511,2,527,2,769,0
7,南京固城湾开元名都度假酒店,Grand New Century Resort Gaochun Nanjing,泳池,31.317174,118.874748,453,0,535,1,552,0,806,1
8,南京开元大酒店,Dingye New Century Hotel Nanjing,泳池,32.060854,118.631036,310,0,367,1,378,1,552,0
9,南京汤山涵田·悦酒店,Nanjing Tangshan Hentique Spring Valley Hotel,SPA,32.046005,119.058134,409,1,484,1,499,2,729,2
10,康铂酒店(南京江宁河海大学地铁站店),Kangyi Hotel (Nanjing Jiangning Hehai University Subway Station),免费停车,31.898445,118.790809,251,2,297,3,306,1,447,0
11,南京仁恒柏薇酒店公寓,ParcVue Hotel Residence Nanjing,桑拿,32.028983,118.70421,453,3,535,0,552,1,806,2
12,南京富力万达嘉华酒店,Wanda Realm Nanjing,泳池,31.951971,118.845033,492,0,582,1,600,1,876,1
13,南京钟山宾馆(江苏省会议中心),Nanjing Zhongshan Hotel (Jiangsu Conference Center),泳池,32.040498,118.811714,303,2,358,2,369,0,539,1
14,南京苏宁环球套房饭店,Suning Universal Hotel,泳池,32.051134,118.774939,394,1,466,0,480,0,701,0
15,南京奥体博览中心优逸酒店,Youyi Hotel Nanjing Olympic Sports Expo Center,管家服务,31.983114,118.731653,440,0,521,0,537,1,784,0
16,南京瑞斯丽酒店,Swisstouches Hotel Nanjing,泳池,32.040405,118.642822,371,0,438,3,452,0,660,0
17,南京世茂滨江希尔顿酒店,Hilton Nanjing Riverside,泳池,32.077225,118.733025,488,2,577,1,595,3,869,1
18,南京隽恒酒店,Junheng Hotel,管家服务,32.054475,118.76297,312,4,369,2,380,0,555,1
19,美豪丽致酒店(南京南站明发广场地铁站店),Meihao Lizhi Hotel (Nanjing South Railway Station Mingfa Plaza Subway Station Store),管家服务,31.97784,118.799202,382,2,452,2,466,2,680,2
20,南京金陵状元楼大酒店,Jinling Mandarin Garden Hotel Nanjing,泳池,32.022119,118.788124,399,1,472,1,487,3,711,2
21,南京明发珍珠泉大酒店,Mingfa Pearl Spring Hotel,湖景房,32.11979,118.660805,317,2,375,1,387,4,565,1
22,南京空港温德姆花园酒店,Wyndham Garden Nanjing AIrport,泳池,31.788368,118.831132,409,1,484,3,499,2,729,0
23,南京水游城假日酒店,Holiday Inn Nanjing Aqua City,亲子主题房,32.024224,118.786014,425,1,502,0,518,0,756,3
24,南京怡华酒店,Yihua Hotel,泳池,32.062356,118.779652,310,0,367,1,378,0,552,0
25,南京北站文景酒店(星火路地铁站),Nanjing North Railway Station Wenjing Hotel,山景房,32.162325,118.689949,360,0,426,1,439,0,641,0
26,南京苏宁索菲特银河大酒店,Sofitel Nanjing Galaxy  Suning,泳池,32.067433,118.772321,420,0,497,0,512,0,748,1
27,李在凤粮仓酒店,Ruyi Xiangye Hot Spring Hotel,泳池,31.657284,118.962549,327,1,387,2,399,2,583,1
28,南京熹禾涵田酒店,XIHE HENTIQUE HOTEL,管家服务,32.020349,118.61598,394,2,466,1,480,2,701,1
29,南京玄武湖假日酒店,Holiday Inn Nanjing Xuanwu Lake,湖景房,32.066615,118.815767,449,0,532,0,548,2,800,4
30,南京金陵江滨酒店,Jinling Riverside Hotel,湖景房,32.010767,118.708706,389,3,460,0,474,2,692,0
31,南京湖滨金陵饭店,Jinling Resort,泳池,31.940443,118.816924,355,1,420,1,433,1,632,0
32,南京上秦淮假日酒店,Holiday Inn Nanjing Qinhuai South,桑拿,31.869777,118.829859,485,0,574,0,592,0,864,1
33,南京丽湖雅致酒店,Lakehome Nanjing,桑拿,31.937899,118.820346,437,0,517,2,533,0,778,2
34,南京上秦淮套房假日酒店,Holiday Inn Nanjing Qinhuai South Suites,湖景房,31.868713,118.829201,485,1,574,0,592,2,864,0
35,南京恒大酒店,Hengda Hotel,泳池,31.699581,119.066924,393,3,465,3,479,0,699,0
36,南京雨润涵月楼酒店,Han Yue Lou Hotel,SPA,32.007805,118.732859,467,0,552,0,569,1,831,1
37,南京翠屏新港假日酒店,Holiday Inn Nanjing Harbour,江河景房,32.163003,118.868089,463,2,548,3,565,1,825,0
38,南京金鹰珠江壹号国际酒店,Golden Eagle Summit Hotel,泳池,32.050677,118.785127,490,1,580,1,598,2,873,2
39,南京玄武苏宁诺富特酒店,Novotel Nanjing East Suning,泳池,32.085999,118.89133,346,0,409,0,422,1,616,0
40,南京金陵饭店,Jinling Hotel,SPA,32.042447,118.782824,558,2,660,3,680,2,993,1
41,桔子水晶南京总统府中山东路酒店,Crystal Orange Nanjing Presidential Palace Zhongshan East Road Hotel,免费停车,32.040044,118.801882,346,0,409,0,422,2,616,2
42,桔子水晶南京新街口酒店,Crystal Orange Hotel (Nanjing Xinjiekou),免费停车,32.034885,118.783734,374,0,442,1,456,2,666,0
43,南京南站万达美华酒店,Wanda Moments Nanjing South Railway Station,机器人服务,31.96475,118.801883,298,2,353,3,364,1,531,1
44,南京中心大酒店,Central Hotel,泳池,32.045436,118.783855,451,2,534,1,550,1,803,2
45,南京武家嘴国际大酒店,Wujiazui International Hotel,管家服务,31.334253,118.895206,367,0,435,0,448,1,654,1
46,南京紫清湖温泉度假酒店(野生动物世界店),Nanjing Ziqing Lake Hot Spring Resort (Wildlife World),桑拿,32.064524,119.032975,515,4,609,0,628,0,917,4
47,国际青年会议酒店(南京国际青年文化中心店),International Youth Convention Hotel (Nanjing International Youth Cultural Centre),泳池,31.991206,118.708629,484,0,572,0,590,1,861,0
48,南京金鹰尚美酒店,G.E. Summit Hotel,泳池,31.931395,118.819778,531,0,629,1,648,0,946,1
49,南京东方珍珠voco酒店,voco Nanjing Oriental Pearl,免费停车,32.048892,118.795365,494,2,584,0,602,2,879,1
50,南京新街口苏宁诺富特酒店,Novotel Nanjing Central Suning,免费停车,32.037035,118.786169,364,0,431,0,444,1,648,2
51,南京蜂巢酒店,Beehive Hotel,泳池,32.140808,118.677356,549,0,649,1,669,0,977,1
52,南京金鹰世界G酒店,"G·Hotel, Nanjing",泳池,32.024335,118.740927,784,1,927,0,956,0,1396,1
53,南京金鹰国际酒店,Golden Eagle International Hotel,泳池,32.041678,118.778252,581,3,688,0,709,1,1035,1
54,南京栖霞山涵田栖云山房酒店,Nanjing Qixia Mountain Hentique Qiyun Resorts,山景房,32.14832,118.955787,515,0,609,3,628,1,917,0
55,南京天丰大酒店,Tianfeng Hotel,免费停车,32.040464,118.787635,344,2,406,0,419,1,612,0
56,南京鲁能美高梅美荟酒店,Mhub by MGM Nanjing Jiangning,泳池,31.905776,118.889067,516,0,610,1,629,0,918,0
57,南京园博园悦榕庄,Banyan Tree Nanjing Garden Expo,SPA,32.076975,119.021676,1601,0,1894,1,1953,0,2851,0
58,南京紫峰洲际酒店,InterContinental Nanjing,泳池,32.06101,118.783434,678,3,802,1,827,3,1207,1
59,南京金茂威斯汀大酒店,The Westin Nanjing Xuanwu Lake,泳池,32.072352,118.783256,655,0,775,0,799,1,1167,0
60,南京山水大酒店,Shanshui Hotel,免费停车,32.044572,118.806021,384,1,454,0,468,0,683,0
61,南京凯宾斯基酒店,Kempinski Hotel Nanjing,泳池,32.035341,118.805016,818,3,968,0,998,0,1457,1
62,南京香格里拉大酒店,Shangri-La Nanjing,Boss推荐,32.077771,118.782672,672,2,795,3,820,0,1197,3
63,南京南站希尔顿欢朋酒店,Hampton by Hilton (Nanjing South Railway Station),免费停车,31.946661,118.811247,387,0,458,4,472,0,689,3
64,南京希尔顿酒店,Hilton Nanjing,泳池,32.031116,118.73817,574,4,679,0,700,1,1022,3
65,南京丽思卡尔顿酒店,"The Ritz-Carlton, Nanjing",桑拿,32.043963,118.784897,1961,2,2319,2,2391,2,3491,2
66,南京THE TAI太和紫金大酒店,THE TAI HOTEL,管家服务,32.045633,118.794964,515,1,609,2,628,1,917,2
67,南京喜玛拉雅假日酒店,Holiday Inn Nanjing South Station,泳池,31.965233,118.805172,492,0,582,3,600,1,876,2
68,南京泊金黄埔酒店,Bojin Huangpu Hotel,免费停车,32.042469,118.811395,376,0,444,0,458,1,669,1
69,南京金奥国际酒店,Keyne Hotel Nanjing,桑拿,31.997874,118.724979,715,1,846,0,872,1,1273,1
70,南京麒麟中山陵景区希尔顿欢朋酒店,Hilton Huanpeng Hotel in Nanjing Qilin Zhongshan Mausoleum Scenic Area,免费停车,32.017804,118.899318,310,2,367,0,378,0,552,1
71,南京南站美居酒店,Mercure Hotel,泳池,31.926494,118.800588,368,2,436,0,449,0,656,0
72,南京河西安达仕酒店,Andaz Nanjing Hexi,泳池,31.993356,118.721081,842,0,996,1,1027,0,1499,3
73,花筑奢·老门东百戏园酒店(南京夫子庙店),Floral Lux Hotel Kun Opera,客栈,32.02647,118.781287,338,1,400,1,412,0,602,3
74,南京禄口机场铂尔曼大酒店,Pullman Nanjing Lukou Airport,泳池,31.731079,118.873411,645,0,762,2,786,0,1148,2
75,书香世家酒店(南京新街口三元巷店),Scholars Hotel,亲子主题房,32.034799,118.782515,327,1,387,0,399,1,583,1
76,南京老门东漫心府,"Manxin Hotel of Laomendong,Nanjing",免费停车,32.007034,118.789064,417,1,493,2,508,3,742,2
77,南京卓美亚酒店,Jumeirah Nanjing,桑拿,31.990583,118.709366,844,0,998,0,1029,2,1502,0
78,南京鼓楼晶丽酒店,Jingli Hotel,多功能厅,32.058742,118.779362,351,1,415,0,428,1,625,1
79,南京长江之舟华邑酒店,HUALUXE Nanjing Yangtze River,泳池,32.045013,118.666224,576,1,681,2,702,0,1025,0
80,南京南站亚朵酒店,Atour Hotel (Nanjing South Railway Station),免费停车,31.966775,118.788329,403,0,476,0,491,1,717,0
81,南京丰盛五季凯悦臻选酒店,"Grand WUJI Hotel, The Unbound Collection by Hyatt",桑拿,31.977606,118.762291,695,1,822,1,847,2,1237,1
82,南京中山陵景区苜蓿园地铁站亚朵酒店,"Atour Hotel, Liyuan Metro Station, Nanjing Zhongshan Mausoleum Scenic Area",免费停车,32.039135,118.841237,359,0,425,1,438,0,639,2
83,桔子水晶南京鼓楼酒店,Orange Crystal Nanjing Drum Tower Hotel,健身室,32.062154,118.781021,381,2,451,0,465,2,679,2
84,南京苏宁钟山国际高尔夫酒店,Nanjing Suning ZhongShan Golf Resort,桑拿,32.078742,118.878146,983,0,1163,2,1199,2,1751,0
85,吉尔福德酒店,Guildford Hotel,免费停车,32.021841,118.792736,371,0,439,1,453,1,661,2
86,南京奥体中心亚朵S酒店,Atour S Hotel Nanjing Olympic Sports Center,免费停车,31.992679,118.733289,352,0,416,0,429,4,626,0
87,桔子水晶南京夫子庙中山南路酒店,Crystal Orange Hotel (Nanjing Confucius Temple Zhongshan South Road),免费停车,32.028232,118.783351,353,2,418,0,431,1,629,0
88,亚朵酒店(南京禄口机场店),Atour Hotel (Nanjing Lukou International Airport),空气净化器,31.736607,118.872527,380,0,450,1,464,0,677,1
89,南京威斯汀温泉度假酒店,The Westin Nanjing Resort & Spa,SPA,32.070742,119.006678,900,0,1065,1,1098,0,1603,4
90,南京丽笙精选度假酒店,Radisson Collection Resort Nanjing,泳池,32.0745,119.010037,701,0,829,1,855,2,1248,2
91,吉尔福德酒店(夫子庙老门东店),Guildford Hotel,免费停车,32.01818,118.787794,393,1,465,0,479,0,699,0
92,南京南都会酒店,NANDUHUI Hotel,窗外好景,32.013622,118.781235,501,1,593,0,611,2,892,2
93,南京隐南门东酒店,in N&S MEN DONG Hotel,泳池,32.012434,118.786244,608,1,720,0,742,2,1083,2
94,南京鼓楼玄武湖轻居酒店,Nanjing Drum Tower Xuanwu Lake light Residence Hotel,免费停车,32.067193,118.780614,323,2,382,1,394,0,575,1
95,南京园博园voco酒店,voco Nanjing Garden Expo,桑拿,32.081181,119.011583,552,1,653,2,673,0,983,2
96,南京新晶丽酒店,New Jingli Hotel,免费停车,31.991565,118.793155,548,3,648,2,668,2,975,1
97,南京天诗居行政公寓,Tianshiju Executive Apartment (Nanjing International Youth Culture Center),酒店公寓,31.990627,118.708241,494,0,585,2,603,1,880,0
98,南京园博园英迪格酒店,"Indigo Nanjing Garden Expo, an IHG Hotel",桑拿,32.073085,119.000338,747,0,884,1,911,0,1330,2
99,桔子水晶南京夫子庙酒店,Orange Crystal Nanjing Confucius Temple Hotel,机器人服务,32.026249,118.790221,332,1,393,2,405,1,591,1
100,南京仙林中心金鹰广场亚朵酒店,"Atour Hotel, Golden Eagle Plaza, Xianlin center, Nanjing",免费停车,32.096451,118.92117,395,3,468,0,482,2,704,1
101,建国·璞隐酒店(南京中山陵景区店),Jianguo Puyin Hotel Nanjing Zhongshan Mausoleum scenic spot store,免费停车,32.044144,118.841974,325,0,384,0,396,1,578,0
102,南京银城皇冠假日酒店,Crowne Plaza Nanjing Jiangning,泳池,31.942265,118.818319,572,5,676,1,697,1,1018,0
103,江苏饭店,Jiangsu Hotel,免费停车,32.032336,118.79269,412,1,487,0,502,1,733,0
104,南京圣和府邸豪华精选酒店,"The Grand Mansion Hotel, Nanjing",桑拿,32.042409,118.798747,1166,0,1379,0,1422,1,2076,0
105,Club Med地中海白日方舟·南京仙林度假村,Club Med Urban Oasis Xianlin Nanjing Resort,免费停车,32.080229,118.92734,892,2,1055,1,1088,2,1588,2
106,南京颐和芥子园酒店,Yihe Jieziyuan Hotel,泳池,32.012592,118.789,694,1,821,0,846,1,1235,1
107,南京总统府亚朵酒店,Atour Hotel,健身室,32.039892,118.802383,374,2,442,1,456,3,666,2
108,南京扬子江国际会议中心酒店,Yangzi River International Conference Center,泳池,32.081109,118.70562,572,0,676,4,697,1,1018,2
109,南京心颐荟·星俪辰酒店,Nanjing Citilink Hotel,免费停车,32.039161,118.735877,302,1,357,0,368,2,537,1
110,南京夫子庙银桥亚朵酒店,Nanjing Confucian Temple Yinqiao Yaduo Hotel,免费停车,32.013449,118.765177,367,1,434,1,447,2,653,1
111,南京珺懋酒店傲途格精选,"Nanjing, Jiangning, Autograph Collection",免费停车,32.071529,119.004178,847,0,1002,0,1033,0,1508,1
112,南京华泰万丽酒店,Renaissance Nanjing Olympic Centre Hotel,桑拿,32.002821,118.724709,736,0,870,1,897,1,1310,3
113,金陵小城·满庭芳客栈,Jinling Xiaocheng Mantingfang Inn,管家服务,31.900023,118.722281,1049,0,1241,2,1279,3,1867,0
114,罗莱夏朵·南京颐和公馆,Relais & Chateaux The Yihe Mansions,别墅,32.062601,118.770028,1044,1,1235,2,1273,1,1859,2
115,南京牛首山希尔顿酒店,Hilton Nanjing Niushoushan,桑拿,31.911871,118.75473,947,0,1120,1,1155,1,1686,2
116,南京金融城Modena辉盛名致服务公寓(奥体博览中心店),Modena by Fraser Nanjing,桑拿,31.984598,118.714517,442,0,523,1,539,0,787,1
117,桔子水晶南京奥体中心酒店,Crystal Orange Hotel (Nanjing Olympic Sports Center),免费停车,32.010166,118.734548,346,1,409,4,422,1,616,1
118,南京世界村酒店,Global Village Hotel,泳池,31.330248,118.902251,318,0,376,2,388,1,566,0
119,世纪缘酒店(南京溧水店),SHIJIYUAN HOTEL(Nanjing Lishui Branch),管家服务,31.674408,119.019627,303,3,359,2,370,1,540,2
120,美豪丽致酒店(南京奥体国际博览中心店),Mehood Lestie Hotel (Nanjing Olympic Sports International Expo Center),免费停车,32.001756,118.727536,340,1,403,2,415,1,606,1
121,南京航空航天大学博物院亚朵酒店,"Atour Hotel Museum, Nanjing University of Aeronautics and Astronautics",管家服务,32.031177,118.817129,352,4,416,1,429,1,626,2
122,南京安朴酒店,The Amber House Nanjing,免费停车,31.970388,118.763812,408,0,483,2,498,1,727,1
123,南京夫子庙爱涛酒店,Nanjing Confucius Temple Aitao Hotel,江河景房,32.015943,118.792724,456,2,539,1,556,3,812,2
124,南京玄武湖智选假日酒店,Holiday Inn Express Nanjing Xuanwu Lake,儿童乐园,32.057089,118.81414,329,2,389,3,401,1,585,2
125,南京华山饭店,Huashan Hotel,免费停车,32.051194,118.806052,382,0,452,0,466,1,680,0
126,南京新地酒店,Xindi Hotel,免费停车,32.103097,118.932024,425,1,502,1,518,0,756,0
127,南京秦淮人家精品酒店,Nanjing family,免费停车,32.019491,118.791076,313,2,371,3,382,1,558,2
128,南京长江之舟逸衡酒店,Nanjing Yangtze River EVEN Hotel,免费停车,32.044567,118.664996,347,1,410,2,423,2,618,3
129,南京奥体国际博览中心漫心府,Nanjing Olympic Sports International Expo Center Manxinfu,家庭房,31.981384,118.710475,353,1,418,2,431,1,629,2
130,全季酒店(南京广州路省人民医院店),All Seasons Hotel (Nanjing Guangzhou Road Provincial People's Hospital Branch),免费停车,32.050757,118.773136,299,3,354,0,365,0,533,3
131,花筑·南京汤山左邻右舍温泉民宿,Floral Hotel·Nanjing Tangshan left adjacent right house hot spring homestay,免费停车,32.065053,119.06367,348,2,412,1,425,1,620,1
132,無同·CHINAR酒店(南京夫子庙店),WUTONG HOTEL,停车场,32.021603,118.79215,478,3,566,0,583,1,851,1
133,南京夫子庙夜泊秦淮尊经书院酒店,Nanjing Yebo Qinhuai Zunjing College Hotel,免费停车,32.021531,118.787813,426,0,503,0,519,1,758,1
134,南京南站软件大道地铁站亚朵酒店,Atour Hotel Nanjing South Railway Station Software Avenue Subway Station,免费停车,31.981562,118.775446,431,3,510,0,526,0,768,4
135,夫子庙柒·金陵精品酒店,Qi Hotel,免费停车,32.012162,118.784984,354,0,419,0,432,1,631,0
136,南京江宁航空航天大学亚朵酒店,Atour Hotel Nanjing Jiangning University of Aeronautics and Astronautics,停车场,31.928414,118.799494,330,1,391,1,403,4,588,0
137,南京奥体博览中心中山精品酒店,Nanjing Zhongshan Boutique Hotel,免费停车,31.994776,118.7283,418,1,495,0,510,0,745,0
138,南京南大国际会议中心,Nanjing University International Conference Center,多功能厅,32.114535,118.96371,358,1,423,2,436,2,637,1
139,花筑·僖堂民宿(南京夫子庙老门东店),Floral Hotel Xitang B&B (Nanjing Confucius Temple Laomendong Branch),家庭房,32.020721,118.792811,423,3,501,2,516,1,753,2
140,秦淮十里·明代嘉靖皇后故居·杏苑酒店(南京夫子庙老门东店),Qinhuai Ten Miles · Former Residence of Empress Jiajing of the Ming Dynasty · Xingyuan Hotel,多功能厅,32.012307,118.785241,408,2,483,0,498,2,727,1
141,南京慢城枕松云居,The Pinellow Dreams Hotel,免费停车,31.41383,119.073652,441,0,522,0,538,2,785,0
142,南京又见江南民宿(幕燕滨江燕子矶店),Youjian Jiangnan Hostel,管家服务,32.146815,118.817148,384,1,454,0,468,0,683,1
143,E·HOTEL逸住艺术酒店(南京南站南广场店),E·HOTEL  (Nanjing South Railway Station South Square Branch),家庭房,31.963017,118.797027,374,3,442,1,456,0,666,1
144,南京河西奥体中心希尔顿花园酒店,Hilton Garden Inn Nanjing Hexi Olympic Sports Center,免费停车,31.981071,118.736949,380,0,449,1,463,1,676,2
145,咏尚春温泉度假民宿,Shangchun Hot Spring Resort Hotel,免费停车,32.024647,118.969703,458,2,541,0,558,2,815,2
146,古南都逸居酒店(南京夫子庙建康路店),Grand Jiankang Hotel,管家服务,32.022771,118.787275,228,1,270,5,278,0,406,0
147,南京总统府逸里酒店,Presidential Palace YiLi Hotel Nanjing,家庭房,32.04008,118.802482,342,2,404,2,417,2,609,1
148,南京夫子庙秦淮游船码头亚朵酒店,Atour Hotel (Nanjing Fuzimiao Qinhuai cruise terminal),家庭房,32.020579,118.792507,387,2,458,1,472,2,689,1
149,楚韵花香温泉民宿村,CHUYUN HUAXIANG HOT SPRING HOMESTAY,免费停车,32.051523,118.480032,328,2,388,0,400,3,584,1
150,南京金轮万怡酒店,Courtyard by Marriott Nanjing Jiangning,免费停车,31.951886,118.821635,490,1,580,0,598,2,873,1
151,南京和福园酒店,Hefuyuan Hotel,免费停车,32.088221,118.786709,334,0,395,3,407,2,594,2
152,SANDJOY沙悦温泉酒店(南京汤山店),SANDJOY Shayue Hot Spring Hotel (Nanjing Tangshan),免费停车,32.04025,119.062429,416,0,492,1,507,3,740,3
153,南京紫清湖生态旅游温泉度假区,Nanjing Ziqinghu Hotspring Hotel,山景房,32.064513,119.032969,343,1,405,0,418,0,610,1
154,南京东苑宾馆,Nanjing Dongyuan Hotel,免费停车,32.055177,118.846655,412,0,488,2,503,0,734,2
155,南京青龙山庄酒店,Qinglongshanzhuang Hotel,免费停车,31.970062,118.929834,366,1,433,2,446,0,651,1
156,南京九华饭店,Jiuhua Hotel,免费停车,32.057651,118.807226,409,3,484,2,499,0,729,2
157,南京机场诺富特酒店,Novotel Nanjing Airport,停车场,31.782081,118.854721,405,2,479,2,494,1,721,3
158,南京白马玲陇酒店,Baima Linglong Hotel,湖景房,31.613557,119.186532,327,1,387,2,399,0,583,0
159,南京江北万汇城智选假日酒店,"Holiday Inn Express Nanjing Jiangbei Wonhall Mall, an IHG Hotel",窗外好景,32.062755,118.657286,286,2,339,0,349,1,510,1
160,南京江宁Moxy酒店,Nanjing Jiangning Moxy,免费停车,31.933237,118.846894,365,1,432,0,445,0,650,0
161,E·HOTEL逸住府(南京夫子庙老门东店),E·HOTEL Yizhu Mansion,家庭房,32.013061,118.783816,435,2,515,2,531,1,775,3
162,机场宾馆(南京夫子庙店),Airport Hotel (Nanjing Confucius Temple),棋牌室,32.019732,118.800554,344,1,406,4,419,1,612,1
163,金帆万源酒店(麒麟人工智能产业园店),WanYuan By Jinsail Hotel (Qi Lin Science & Technology Innovation Park Branch),免费停车,32.028677,118.925461,335,1,397,1,409,0,597,1
164,南京南站北广场亚朵酒店,Atour Hotel Nanjing South Station North Square,停车场,31.969906,118.792247,417,1,493,3,508,1,742,1
165,南京汉润1882大酒店,Hanrun 1882 Hotel,免费停车,31.988819,118.73581,345,2,408,1,421,1,615,0
166,南京得半庄园度假酒店,Deban Manor Resort Hotel,免费停车,31.347976,119.030326,341,1,404,0,416,3,607,1
167,美豪丽致G次元电竞酒店,Meihao Lizhi G Diyuan E-sports Hotel,免费停车,32.001756,118.727536,340,3,403,2,415,1,606,0
168,南京仙林大学城希尔顿欢朋酒店,Hampton by Hilton Nanjing Xianlin University Town,窗外好景,32.095134,118.922404,330,1,391,1,403,0,588,3
169,桔子南京新街口中心酒店,Orange Hotel (Nanjing  Xinjiekou Center),机器人服务,32.034759,118.783841,290,0,343,1,354,1,517,0
170,如家精选酒店(南京夫子庙景区店),Home Inn Plus (Nanjing Confucius Temple),机器人服务,32.018042,118.788277,289,1,341,1,352,0,514,3
171,云居·楠山里温泉度假酒店,Yunju Lushanli Hot Spring Resort,家庭房,31.961355,118.9552,326,1,386,0,398,0,581,4
172,书香世家酒店(南京新街口德基广场店),Scholars Hotel (Nanjing Xinjiekou Deji Plaza),亲子主题房,32.044419,118.78315,262,0,309,0,319,0,466,8
173,南京奥体中心诺阁雅酒店,Nanjing Keyne NEQTA Hotel,动人夜景,31.993826,118.729107,361,3,427,1,440,2,642,2
174,南京金帆万源酒店,Jinfan Wanyuan Hotel,免费停车,32.045238,118.772196,244,1,288,3,297,2,434,1
175,全季酒店(南京软件大道地铁站店),Ji Hotel (Nanjing Ruanjian Avenue),免费停车,31.975588,118.771226,454,1,537,0,554,0,809,0
176,南京紫东酒店(紫东生态会议中心),Zidong Design Hotels (Zidong Ecological Conference Center),免费停车,32.079562,118.911687,334,1,395,1,407,0,594,3
177,桔子酒店(南京奥体江东中路店),"Orange hotel(nanjing Olympic sports Center, jiangdong road)",机器人服务,32.000064,118.726172,379,0,448,0,462,2,675,1
178,南京白金汉爵大酒店,Baijin Hanjue Hotel,多功能厅,32.103204,118.892153,261,0,308,0,318,0,464,1
179,全季酒店(南京龙江新城市广场漓江路店),All Seasons Hotel (Nanjing Longjiang New City Plaza Lijiang Road Branch),管家服务,32.053934,118.736576,310,4,367,0,378,2,552,0
180,全季酒店(南京南站前广场店),Ji Hotel (Nanjing South Railway Station Square Store),健身室,31.966009,118.802232,417,1,493,2,508,3,742,0
181,古南都逸居酒店(南京夫子庙景区店),Grand Cozy Hotels (Nanjing Qianhuai Confucius Temple),儿童乐园,32.022408,118.786803,233,0,275,1,284,1,415,1
182,花筑·栖梧民宿(苏家理想村店),Floral Hotel·Qiwu Homestay (Sujia Ideal Village Store),免费停车,31.805068,118.723914,339,1,402,0,414,1,604,1
183,宜尚酒店(南京夫子庙地铁站店),Yishang Hotel (Nanjing Confucius Temple Subway Station),窗外好景,32.022385,118.791825,286,1,339,1,349,4,510,1
184,花筑·南京半山悠然民宿(银杏湖乐园店),Floral Hotel·Nanjing Mid Mountain Leisure Homestay (Ginkgo Lake Paradise Store),免费停车,31.77137,118.725741,406,2,480,0,495,1,723,1
185,云几·澄心堂度假酒店(南京玄武湖店),Yunji Chengxintang Resort Hotel (Nanjing Xuanwumen Branch),免费停车,32.070832,118.78657,329,2,389,2,401,2,585,1
