id,name,hotelname_en,featurehoteltype,lat,lon,single_room_price,single_room_stock,king_room_price,king_room_stock,double_bed_price,double_bed_stock,family_room_price,family_room_stock
0,上海静安昆仑大酒店,The Kunlun Jing An,桑拿,31.219309,121.445302,836,0,930,2,939,1,1108,2
1,上海陆家嘴世博中心亚朵S酒店,Atour S Hotel  Expo Center Lujiazui Shanghai,免费停车,31.195052,121.506961,656,1,730,1,737,3,870,1
2,上海国际旅游度假区荷逸唐酒店,Heyitang Hotel Shanghai International Tourism Resort,免费停车,31.053546,121.764439,389,0,433,2,437,1,516,1
3,美豪丽致酒店(上海徐家汇衡山路店),"Lestie Hotel  Hengshan Road, Xujiahui, Shanghai",管家服务,31.200012,121.444359,547,0,609,0,615,1,726,1
4,上海南郊宾馆,Nanjiao Hotel Shanghai,泳池,30.925194,121.483624,465,2,517,3,522,3,616,0
5,上海柏思特酒店,Shanghai Best Boutique Hotel,免费停车,31.096668,121.709423,340,1,378,1,382,1,451,1
6,桔子水晶上海虹桥枢纽国展中心酒店,Crystal Orange Hotel (Shanghai Hongqiao Hub International Exhibition Center),免费停车,31.207133,121.297587,505,1,561,1,567,1,669,3
7,麦新格国际酒店(上海国际旅游度假区店周浦地铁站店),"Maixinge International Hotel (Shanghai International Tourism Resort, Zhoupu Metro Station )",免费停车,31.118551,121.571871,452,0,503,0,508,0,599,1
8,上海蓝天宾馆,Lantian Hotel,行政酒廊,31.298842,121.516814,546,1,607,3,613,1,723,0
9,桔子水晶上海外滩豫园酒店,Crystal Orange Hotel,SPA,31.229024,121.49172,587,0,653,0,660,1,779,0
10,桔子酒店(上海浦东国际旅游度假区崇溪路店),"Orange Hotel (Chongxi Road Branch, Pudong International Tourism Resort, Shanghai)",家庭房,31.108818,121.712545,411,0,457,1,462,1,545,2
11,上海浦东主题乐园万信酒店,Wassim Hotel (Shanghai Pudong Theme Park),泳池,31.169345,121.686398,417,1,464,1,469,0,553,0
12,上海浦东温德姆酒店,Wyndham Shanghai Pudong,免费停车,31.177192,121.702381,444,1,494,2,499,2,589,1
13,上海南京东路铂金万澳酒店,WOW HOTELS,儿童乐园,31.234242,121.478464,506,1,562,2,568,0,670,2
14,云和夜泊酒店(上海浦东国际机场店),Yun He Ye Bo Hotel (Shanghai Pudong International Airport),免费停车,31.097905,121.765119,353,2,393,0,397,0,468,2
