id,name,hotelname_en,featurehoteltype,lat,lon,single_room_price,single_room_stock,king_room_price,king_room_stock,double_bed_price,double_bed_stock,family_room_price,family_room_stock
0,苏州东太湖智选假日酒店,Holiday Inn Express Suzhou East Taihu,窗外好景,31.135196,120.609697,370,2,410,3,446,1,607,2
1,苏州王府金科大酒店,Wangfu Jinke Grand Hotel,泳池,31.311184,120.56302,394,0,437,1,475,5,646,0
2,金海华LOHAS 华屿东方酒店,LOHAS Boutique Hotel,桑拿,31.369784,120.612686,446,0,494,1,537,0,730,1
3,苏州新城花园丽呈华廷酒店,New City Grand Rezen Hotel,泳池,31.29382,120.571776,508,0,563,0,612,0,832,2
4,苏州平江华府酒店,Hovle Mansion Club & Hotel,管家服务,31.315502,120.632191,545,1,604,5,657,1,894,1
5,嘉宝酒店(苏州观前街十全街店),Garbo Hotel (Suzhou Guanqian Street Shiquan Street Branch),免费停车,31.292336,120.635666,230,2,255,0,277,0,377,0
6,苏州金鸡湖希尔顿欢朋酒店,Hampton by Hilton Suzhou Jinji Lake,免费停车,31.317061,120.64897,447,1,495,1,538,1,732,1
7,苏州金鸡湖馨乐庭公寓酒店,Citadines Suzhou Jinji Lake,泳池,31.304919,120.652643,380,2,421,2,458,2,623,0
8,苏州吴中希尔顿欢朋酒店,Hampton by Hilton Hotel Wuzhong Suzhou,免费停车,31.266496,120.640027,413,1,458,1,498,3,677,2
9,苏州金鸡湖美居酒店,Mercure Hotel Suzhou Jinji Lake,机器人服务,31.314154,120.666695,427,0,473,0,514,3,699,0
10,苏州吴宫泛太平洋酒店,Pan Pacific Suzhou,泳池,31.290418,120.617053,447,1,496,2,539,2,733,1
11,苏州新区希尔顿欢朋酒店,Hampton by Hilton Suzhou New District,免费停车,31.308035,120.55284,405,1,449,0,488,0,664,0
12,苏州高铁金科大酒店,Jinke Grand Hotel,SPA,31.418638,120.644202,437,0,484,1,526,0,715,2
13,昆山城东开发区亚朵酒店,Atour,免费停车,31.373665,121.02288,320,4,354,2,385,1,524,1
14,安渡酒店(苏州观前街七里山塘店),ANDU HOTEL,管家服务,31.309835,120.610932,298,0,330,1,359,1,488,1
15,苏州日航酒店,Hotel Nikko Suzhou,桑拿,31.29459,120.549399,459,2,509,2,553,0,752,2
16,维也纳国际酒店(苏州火车站北广场店),Vienna International Hotel (Suzhou Railway Station North Square),免费停车,31.333565,120.610404,270,1,299,1,325,3,442,3
17,昆山金陵大饭店,Jinling Grand Hotel,SPA,31.383518,121.035079,413,1,457,0,497,0,676,0
18,苏州温德姆花园酒店,Wyndham Garden Suzhou,桑拿,31.307525,120.626181,420,2,466,1,506,0,688,0
19,苏州山塘街华贸姑苏里服务公寓,Suzhou Shantang Street Huamao Gusuli Service Apartment,网红泳池,31.309887,120.597693,454,0,503,0,547,1,744,0
20,苏州吴宫御宴酒店,Suzhou Wugong Royal Banquet Hotel,泳池,31.290846,120.618059,401,1,444,1,483,3,657,1
21,苏州吴江宾馆,Wujiang Hotel,免费停车,31.155916,120.638063,369,1,408,0,444,1,604,1
22,苏州太湖香山国际大酒店,Suzhou Taihu Xiangshan International Hotel,泳池,31.213292,120.410719,373,1,413,2,449,2,611,2
23,苏州雅辰悦居酒店,Artyzen Habitat Suzhou,免费停车,31.294461,120.635651,410,1,454,4,494,1,672,0
24,苏州胥城书香世家酒店,Suzhou xuccheng Shuxiang Shijia Hotel,免费停车,31.29818,120.598846,322,1,357,4,388,0,528,2
25,苏州石湖金陵花园酒店,Jingling Shihu Garden Hotel,湖景房,31.216058,120.603564,422,0,467,1,508,2,691,0
26,苏州观前街乐桥地铁站亚朵酒店,"Atour Hotel, leqiao subway station, Guanqian Street, Suzhou",免费停车,31.30049,120.618798,349,3,386,0,420,0,571,1
27,昆山高新万象汇美居酒店,Mercure Kunshan High-tech Vientiane Hui Hotel,免费停车,31.383106,120.920697,344,1,381,0,414,1,563,0
28,桔子水晶苏州观前街酒店,Orange Crystal Suzhou Guanqian Street Hotel,家庭房,31.307047,120.623281,344,0,381,0,414,0,563,6
29,苏州金鸡湖博览中心亚朵酒店,Atour Hotel (Suzhou Jinjihu Expo Center),免费停车,31.322437,120.7178,400,4,443,2,482,0,656,2
30,苏州书香府邸平江府,Scholars Hotel Suzhou Pingjiangfu,园林建筑,31.319214,120.633164,580,0,643,2,699,2,951,1
31,苏州石路山塘街亚朵酒店,"Yaduo Hotel Shantang Street, Shi Road, Suzhou",免费停车,31.313055,120.602502,378,0,420,2,456,0,620,3
32,苏州阳澄喜柯大酒店(阳澄湖店),Siko Grand Hotel Suzhou Yangcheng,泳池,31.44723,120.772653,378,2,420,0,456,0,620,1
33,苏州南园宾馆,Garden Hotel SUZHOU,泳池,31.297513,120.632048,518,1,574,0,624,1,849,0
34,苏州文博诺富特酒店,Novotel Suzhou SIP,泳池,31.323661,120.705129,567,3,628,1,683,1,929,0
35,苏州香格里拉大酒店,"Shangri-La Hotel, Suzhou",桑拿,31.292356,120.558727,558,1,618,2,672,0,914,2
36,苏州希尔顿酒店,Hilton Suzhou,泳池,31.324062,120.734159,550,2,610,0,663,2,902,0
37,苏州太湖高尔夫酒店,Taihu Golf Hotel,桑拿,31.218276,120.391896,455,2,504,1,548,1,745,1
38,苏州观前街亚朵酒店,Atour Hotel (Suzhou Guanqian Street),免费停车,31.313323,120.626408,385,3,427,0,464,2,631,1
39,苏州古运河逸衡酒店,Even Hotel Suzhou Grand Canal·Suoshanqiao West subway station,免费停车,31.283708,120.574249,378,1,419,1,455,0,619,0
40,苏州工业园区智选假日酒店(苏州奥林匹克体育中心店),Holiday Inn Express Suzhou Industrial Park (Suzhou Olympic Center Store),免费停车,31.307738,120.747455,414,0,459,0,499,4,679,2
41,苏州太湖假日酒店,Holiday Inn Suzhou Taihu Lake,免费停车,31.225416,120.448455,407,1,451,0,490,0,666,2
42,苏州树山书香世家温泉酒店,Scholars Shushan Hot Springs Resort,山景房,31.367893,120.461079,414,3,459,0,499,0,679,0
43,苏州盛捷绿宝广场酒店公寓,Somerset Emerald City,免费停车,31.302167,120.549476,376,1,417,0,453,0,616,0
44,艺漫酒店(苏州平江路景区店),Yiman Hotel (Suzhou Pingjiang Road Scenic Area),免费停车,31.31674,120.633207,437,0,485,1,527,1,717,0
45,苏州独墅湖高教区亚朵酒店,Atour Hotel Suzhou Dushu Lake Higher Education Area,免费停车,31.286487,120.728882,378,3,420,1,456,0,620,2
46,苏州山塘江南织造漫心府,Manxin Suzhou Shantang Jiangnan Weaving House Hotel,智能客控,31.31737,120.602416,500,2,555,1,603,1,820,3
47,苏州工业园区时尚舞台亚朵酒店,"Atour Hotel (Suzhou Industrial Park, Fashion Stage)",免费停车,31.340039,120.820889,377,0,418,0,454,1,617,0
48,苏州奥克伍德国际酒店公寓,Oakwood Hotel & Residence Suzhou,免费停车,31.261185,120.720506,429,4,476,1,517,0,703,0
49,书香世家酒店(苏州月亮湾纳米科技园店),Scholars Hotel (Suzhou Moon Bay Nano Technology Park),免费停车,31.255321,120.732542,356,0,395,0,429,2,583,0
50,桔子酒店(苏州东沙湖现代大道店),"Orange Hotel (Suzhou Dongsha Lake, Xiandai Avenue)",免费停车,31.333476,120.757489,339,0,376,1,409,1,556,0
51,苏州汇融广场假日酒店,Holiday Inn Suzhou Huirong Plaza,免费停车,31.37186,120.52812,370,0,410,0,446,1,607,0
52,同里花间堂·丽则女学,Blossom Hill Tongli,管家服务,31.158081,120.720823,402,2,445,4,484,1,658,0
53,晗月云酒店(苏州金鸡湖博览中心店),Yueyueyun Hotel (Jinji Lake Expo Center),免费停车,31.321291,120.706569,387,1,429,0,466,2,634,0
54,隐居酒店(苏州平江路拙政园店),Yinju Hotel,园林建筑,31.320678,120.631771,438,2,486,3,528,2,718,0
55,苏州阳澄湖套房假日酒店,Holiday Inn & Suites Suzhou Yangcheng Lake,免费停车,31.361444,120.712945,436,0,483,1,525,0,714,4
56,苏州观园琉苏酒店,Guanyuan Liusu Hotel,免费停车,31.273173,120.723177,488,3,541,0,588,2,800,3
57,格雷斯精选酒店(苏州工业园区店),Grace Select Hotel (Suzhou Industrial Park),免费停车,31.331109,120.826584,271,3,300,2,326,2,443,0
58,南大国际学术交流中心,Center for International Academic Exchange,停车场,31.347205,120.38967,440,2,488,0,530,2,721,0
59,苏州金陵雅都大酒店,Jinling Aster Hotel Suzhou,管家服务,31.299252,120.597638,331,2,367,1,399,2,543,2
