id,name,hotelname_en,featurehoteltype,lat,lon,single_room_price,single_room_stock,king_room_price,king_room_stock,double_bed_price,double_bed_stock,family_room_price,family_room_stock
0,臻程酒店(武汉汉阳江滩国博店),Yucheng Hotel (Wuhan Hanyang Jiangtan Guobo),免费停车,30.533848,114.271243,286,0,305,1,308,1,416,0
1,武汉江滩好百年美仑国际酒店,Grand Madison Wuhan Hankou on the Bund,江河景房,30.57657,114.297248,464,1,494,1,499,1,674,4
2,武汉汉口温德姆花园酒店,Wyndham Garden Wuhan Hankou,免费停车,30.613822,114.247295,463,1,493,0,498,0,672,0
3,武汉会议中心,Wuhan Conference Center,免费停车,30.612458,114.29597,482,0,513,1,518,3,699,4
4,武汉江滩世茂凡象酒店,Ethos Hotel Wuhan Riverside,免费停车,30.586202,114.302012,438,0,466,1,471,3,636,0
5,武汉万科瞻云酒店,The Yun Hotel Hankou,泳池,30.626677,114.23768,436,3,464,1,469,0,633,3
6,水云岚酒店(武汉江汉路步行街店),Shuiyunlan Hotel,机器人服务,30.580917,114.288128,336,1,357,1,361,0,487,0
7,武汉中交五洲皇冠酒店,V-Continent WuHan Hotel,行政酒廊,30.505159,114.202726,381,1,406,0,410,1,554,0
8,武汉洪山宾馆,Hongshan Hotel,泳池,30.54656,114.336871,461,0,491,2,496,0,670,0
9,开元大酒店(武汉高铁站欢乐谷店),"New Century Hotel (Wuhan High-speed Railway Station, Happy Valley)",管家服务,30.630145,114.391357,408,1,435,3,439,1,593,2
10,臻程酒店(武汉汉口火车站泛海CBD店),Zhencheng Hotel (Wuhan Hankou Railway Station Fanhai CBD Branch),免费停车,30.610597,114.252982,299,0,319,1,322,0,435,1
11,武汉高铁站希尔顿欢朋酒店,Hampton by Hilton Wuhan railway Station,免费停车,30.60948,114.411733,398,1,424,0,428,0,578,0
12,武汉汉口江滩保安洋行漫心府,Wuhan Hankou River Beach Security Foreign Travel Man Xinfu,管家服务,30.581779,114.298373,458,0,488,0,493,0,666,2
13,瑞景凯瑞精选酒店(武商梦时代街道口店),Ruijing Kairui Collection Hotel (Wu Shang Meng Times Street Branch),管家服务,30.525723,114.337171,352,2,375,0,379,2,512,0
14,武汉欧亚会展国际酒店,Eurasia Convention International Hotel,泳池,30.639813,114.207022,418,1,445,2,449,0,606,1
