id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,长隆野生动物世界,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.007944,113.321711,9:30,18:00,300,2.5,4,4.8
1,广州长隆度假区,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.006399,113.330527,0:00,24:00,0,2.5,4,4.8
2,广州塔,{人文景观;网红打卡点;城市地标;夜经济热点},23.112223,113.331084,9:30,22:30,149,0.5,1.5,4.9
3,广州长隆国际大马戏,{游乐园/体育娱乐;沉浸式体验},23.009036,113.337965,15:00,21:00,350,1,2,4.8
4,长隆欢乐世界,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.00481,113.33685,10:00,18:00,250,2.5,4,4.7
5,珠江夜游,{游乐园/体育娱乐;夜经济热点},23.115119,113.294879,9:00,22:30,98,1,2,4.6
6,长隆水上乐园,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.007665,113.330724,10:00,21:30,69,2,3,4.7
7,广东科学中心,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.045368,113.369589,9:30,16:30,60,2,3.5,4.6
8,陈家祠,{历史古迹;网红打卡点},23.132609,113.251995,9:00,18:00,0,3,3.5,4.9
9,长隆飞鸟乐园,{游乐园/体育娱乐;亲子友好},23.031355,113.284204,9:30,18:00,100,1.5,2,4.6
10,沙面,{历史古迹;网红打卡点;夜经济热点},23.112627,113.251119,0:00,24:00,0,0.5,2,4.9
11,广东省博物馆,{博物馆/纪念馆;亲子友好;沉浸式体验},23.120537,113.33296,0:00,24:00,0,2.5,4,4.8
12,广州动物园,{游乐园/体育娱乐;亲子友好},23.146478,113.311833,8:00,18:00,0,3,4,4.8
13,正佳广场商贸旅游区,{商业街区;亲子友好;夜经济热点},23.137807,113.333654,10:00,22:00,0,3,3.5,4.8
14,正佳极地海洋世界,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.137758,113.332856,10:00,22:00,125,0.5,2,4.7
15,南越王博物院(王墓展区),{博物馆/纪念馆},23.143943,113.267507,9:00,17:30,0,1,2.5,4.8
16,中山纪念堂,{红色景点;城市地标},23.139129,113.271126,9:00,17:30,8,2,3.5,4.9
17,大佛古寺,{历史古迹},23.128808,113.274392,6:00,21:00,0,2.5,3,4.9
18,白云山,{自然风光;小众秘境},23.190623,113.306556,0:00,24:00,0,1,2,4.8
19,广州热雪奇迹,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.432566,113.23773,10:30,20:30,198,1.5,3,4.6
20,广州融创文旅城,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.435167,113.241125,0:00,24:00,0,1,2,4.7
21,中国科学院华南国家植物园,{公园;小众秘境},23.188836,113.372578,7:30,17:30,19.9,0.5,1,4.8
22,北京路步行街,{商业街区;美食目的地;夜经济热点},23.127945,113.275422,0:00,24:00,0,0.5,2,4.8
23,珠江夜游天字码头,{游乐园/体育娱乐;夜经济热点},23.120996,113.277576,9:00,22:30,98,2.5,4,4.5
24,越秀公园,{公园;小众秘境},23.14608,113.272266,0:00,22:00,0,0.5,2,4.7
25,永庆坊,{商业街区},23.120549,113.244008,0:00,24:00,0,1,2.5,4.8
26,西关永庆坊旅游区,{文化旅游区;夜经济热点},23.12075,113.244039,0:00,24:00,0,2.5,4,4.8
27,沙湾古镇,{历史古迹;夜经济热点},22.909439,113.340932,9:00,17:30,30,1.5,3,4.6
28,上下九步行街,{商业街区;美食目的地;夜经济热点},23.119805,113.252523,0:00,24:00,0,3,4,4.6
29,广州圣心大教堂,{历史古迹;网红打卡点},23.120805,113.266558,9:00,11:00,0,2,2.5,4.8
30,广州融创乐园,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.435471,113.246764,11:00,18:00,208,3,4,4.6
31,白水寨风景名胜区,{自然风光;节庆限定},23.599255,113.771154,8:30,17:30,54,1,1.5,4.6
32,岭南印象园,{文化旅游区;夜经济热点},23.043105,113.412924,9:30,18:00,54,2.5,4,4.5
33,黄埔军校旧址纪念馆,{博物馆/纪念馆;红色景点},23.092368,113.431318,9:00,17:00,0,2,2.5,4
34,宝墨园,{文化旅游区},22.900712,113.300935,8:30,17:00,48,2,2.5,4.7
35,南沙天后宫,{人文景观},22.762606,113.625188,8:30,17:00,14.9,1,1.5,4.5
36,森林海嬉水乐园,{游乐园/体育娱乐;亲子友好},23.573071,113.770945,10:00,21:00,0,1.5,3,4.5
37,广州博物馆,{博物馆/纪念馆;网红打卡点},23.143971,113.27211,9:00,18:00,0,1.5,3,4.8
38,珠江夜游广州塔财富码头,{游乐园/体育娱乐;夜经济热点},23.113208,113.333565,9:00,22:30,108,1.5,3,4.7
39,珠江夜游大沙头码头,{游乐园/体育娱乐;夜经济热点},23.118706,113.291887,9:00,22:30,93,1.5,3,4.6
40,余荫山房,{历史古迹},23.017654,113.402024,8:00,18:00,18,1,2.5,4.7
41,莲花山旅游区,{文化旅游区},22.993236,113.509893,7:00,17:00,54,1,1.5,4.8
42,广州海洋馆,{游乐园/体育娱乐;亲子友好},23.149705,113.311261,9:30,18:30,160,3,3.5,4.5
43,海心沙亚运公园,{公园;城市地标},23.117202,113.331179,7:00,23:00,0,1,2,4.8
44,花城广场,{商业街区;城市地标},23.125752,113.331127,0:00,24:00,0,0.5,1,4.8
45,正佳雨林生态植物园,{公园;亲子友好;沉浸式体验},23.137906,113.333565,10:00,22:00,98,3,3.5,4.4
46,广州都市双层观光巴士（粤陶巴）,{游乐园/体育娱乐;网红打卡点},23.113765,113.31604,9:00,17:00,0,2,2.5,4.5
47,广州兰圃,{公园;小众秘境},23.149913,113.266761,0:00,18:00,8,1.5,3,4.7
48,海珠国家湿地公园,{公园;小众秘境},23.072321,113.343072,9:00,19:00,18,2.5,3,4.5
49,正佳自然科学博物馆,{博物馆/纪念馆;亲子友好;沉浸式体验},23.137456,113.334356,10:00,20:00,40,2.5,4,4.6
50,千泷沟大瀑布,{自然风光;小众秘境},23.713006,113.865891,9:00,18:00,58,0.5,1,4.2
51,南越王博物院(王宫展区),{历史古迹},23.1331,113.276352,9:00,17:30,0,2,3,4.7
52,广州塔阿尔法探索乐园,{游乐园/体育娱乐;沉浸式体验;网红打卡点},23.112223,113.331084,15:00,22:00,378,1.5,3,4.2
53,正佳企鹅冰雪世界,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.137465,113.333506,11:00,20:00,158,1,1.5,4.4
54,珠江夜游海心沙西区码头,{游乐园/体育娱乐;夜经济热点},23.116211,113.330131,16:00,22:30,0,2.5,3,4.6
55,天人山水大地艺术园,{游乐园/体育娱乐;亲子友好;小众秘境},23.440908,113.594523,10:00,19:00,58,0.5,1,4.4
56,珠江夜游广州塔·中大码头,{人文景观;夜经济热点},23.109558,113.306007,9:00,22:30,0,1,2,4.6
57,海心桥,{游乐园/体育娱乐;网红打卡点;城市地标},23.113958,113.325485,7:00,23:00,0,2,2.5,4.8
58,广州十三行博物馆,{博物馆/纪念馆},23.114945,113.257572,9:00,17:30,0,2,2.5,4.8
59,荔枝湾涌,{人文景观;夜经济热点},23.125161,113.241536,0:00,24:00,0,0.5,1,4.7
60,石门国家森林公园,{公园;小众秘境},23.631008,113.788742,9:00,19:00,40,1,2,4.6
61,太古仓,{商业街区;夜经济热点},23.094555,113.259118,0:00,24:00,0,2,3.5,4.7
62,粤剧艺术博物馆,{博物馆/纪念馆;非遗体验},23.121247,113.244769,9:00,21:00,0,2,3,4.8
63,大丰门景区,{自然风光;小众秘境},23.589925,113.822522,9:00,17:30,48,2.5,3,4.2
64,广州荔枝湾游船,{游乐园/体育娱乐;夜经济热点},23.126744,113.240948,9:30,17:00,0,0.5,1.5,4.3
65,李小龙祖居,{历史古迹},23.121135,113.243461,8:30,21:30,0,0.5,1.5,4.7
66,帷幕开啦（广州塔）蜡像馆,{人文景观;沉浸式体验;网红打卡点},23.112175,113.331955,10:00,22:30,98,0.5,1,4.6
67,幻境空间元宇宙体验馆(广州店),{游乐园/体育娱乐;沉浸式体验},23.139917,113.328022,10:00,22:00,59.9,2.5,4,3.7
68,天鹿湖森林公园,{公园;小众秘境},23.228718,113.426335,9:00,17:00,5,2,3.5,4.3
69,飞越丛林探险乐园,{游乐园/体育娱乐;亲子友好;沉浸式体验},23.229421,113.432816,9:00,17:30,65,0.5,2,4.7
70,珠江新城,{商业街区;城市地标;夜经济热点},23.124903,113.339912,0:00,24:00,0,3,3.5,4.3
71,荔湾湖公园,{公园;夜经济热点},23.126903,113.239395,0:00,24:00,0,2,3.5,4.8
72,珠江夜游西堤码头,{人文景观;夜经济热点},23.113222,113.258634,16:00,22:30,0,0.5,1,4.5
73,广州融创体育世界,{游乐园/体育娱乐;沉浸式体验},23.431966,113.240339,13:00,19:00,0,2,2.5,4.3
74,中山大学（南校区）,{大学校园;小众秘境},23.102915,113.304864,9:00,18:00,0,3,4,4.5
