id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,牛首山文化旅游区,{文化旅游区;网红打卡点},31.909151,118.754905,8:30,17:30,145,2,2.5,4.8
1,夫子庙,{文化旅游区;网红打卡点},32.026937,118.795273,0:00,24:00,0,1,2.5,4.8
2,夫子庙秦淮风光带,{文化旅游区;网红打卡点},32.026208,118.795961,0:00,24:00,0,1,2.5,4.8
3,红山森林动物园,{游乐园/体育娱乐;亲子友好;沉浸式体验},32.098132,118.808087,8:30,16:30,39,2.5,3,4.8
4,明孝陵,{历史古迹;网红打卡点},32.052625,118.841221,6:30,18:30,65,3,4,4.8
5,钟山风景名胜区,{自然风光;网红打卡点},32.069291,118.859406,0:00,24:00,0,0.5,1,4.8
6,南京博物院,{博物馆/纪念馆;网红打卡点;沉浸式体验},32.046791,118.831617,9:00,17:00,0,1.5,3,4.8
7,南京总统府,{历史古迹;网红打卡点},32.050564,118.803834,8:30,18:00,0,3,4,4.8
8,秦淮河画舫,{文化旅游区;沉浸式体验},32.026295,118.796311,9:00,22:00,100,1,1.5,4.6
9,中山陵景区,{红色景点;网红打卡点},32.060275,118.86104,8:00,17:00,0,1.5,3,4.9
10,大报恩寺遗址景区,{历史古迹;网红打卡点;城市地标},32.015453,118.789543,8:30,19:30,87,2,2.5,4.8
11,美龄宫,{历史古迹;网红打卡点},32.051265,118.85321,7:30,18:00,29.5,0.5,2,4.6
12,太平天国历史博物馆(瞻园),{博物馆/纪念馆;网红打卡点},32.027215,118.791411,8:30,17:00,27,2,3.5,4.4
13,六朝博物馆,{博物馆/纪念馆;网红打卡点;沉浸式体验},32.04937,118.805632,9:00,17:30,27,3,4,4.7
14,南京城墙,{历史古迹;网红打卡点},32.068991,118.802812,8:30,17:00,0,2.5,3,4.7
15,栖霞山,{自然风光;节庆限定;网红打卡点},32.163868,118.976369,7:00,17:00,47,2,3,4.8
